"","Species","K","Linf","M","m50","m95","t0","tmax","Wa","Wb","mk","LmLinf","LmLinf.est","Mtmax"
"1","ACANCH",0.08,36.69,0.11,21.21,24.18,-4.31,27,0.0040602,3.533,1.375,0.578086672117743,0.685714285714286,2.97
"2","ACANCO",0.49,23.1,0.19,14,15.96,-0.25,16,0.22185,2.464933,0.387755102040816,0.606060606060606,0.885542168674699,3.04
"3","BALIVE",0.3,41.59,0.43,23.69,27.01,-0.6,7,0.000101,2.75,1.43333333333333,0.569608078865112,0.676691729323308,3.01
"4","HOLOAD",0.34,52.2314,0.356635,29.12936,33.20747,-0.4,8.4,0.242209,2.36457,1.04892647058824,0.557698242819453,0.740937140200562,2.995734
"5","LUTJMA",0.097,58.89,0.299573,32.44294809,36.98496082,-1.728,10,0.0428,2.719,3.08838144329897,0.550907591951095,0.492741794833154,2.99573
"6","LUTJSY",0.27,45.49,0.245551826,28.48924179,32.47773565,-0.815,12.2,0.0202,3,0.909451207407407,0.626274825016487,0.767371132376782,2.9957322772
"7","LUTJVI",0.1,74.07,0.332859142,32.78846154,37.37884615,-1.87,9,0.0373,2.7812,3.32859142,0.442668577561766,0.474039134604142,2.995732278
"8","SCARCH",0.71,23.7,0.427961753,21.97539,25.0519446,-0.05,7,0.02,3,0.602763032394366,0.92723164556962,0.832694233016548,2.995732271
"9","SERRFU",0.2,37.7,0.22,24.06772662,27.43720835,-3.53,19,0.0174,3,1.1,0.638401236604774,0.731707317073171,4.18
"10","SERRGU",0.09,55.78,0.43,30.9,35.22,-3.82,17.5,0.01338,3.0412,4.77777777777778,0.553961993546074,0.385714285714286,7.525
