Parameter,Species,Value,Source,,,,,,,,,,
Linf,ACANCO,18.8,SEDAR30 low,,,,,,,,,,
K,ACANCO,1.03,SEDAR30 low,,,,,,,,,,
t0,ACANCO,-0.15,SEDAR30 low,,,,,,,,,,
Linf,ACANCO,24.4,SEDAR30 high,,,,,,,,,,
K,ACANCO,0.42,SEDAR30 high,,,,,,,,,,
t0,ACANCO,-0.092,SEDAR30 high,,,,,,,,,,
tmax,ACANCO,14,SEDAR30 ,,,,,,,,,,
M,ACANCO,0.213980877,Estimated from tmax,,,,,,,,,,
Wa,ACANCO,0.0305,Bohnsack & Harper 1988,,,,,,,,,,
Wb,ACANCO,3,Bohnsack & Harper 1988,,,,,,,,,,
m50,ACANCO,,,,,,,,,,,,
m95,ACANCO,,,,,,,,,,,,
Linf,BALIVE,41.5,SEDAR 30/Manooch & Drennon 1987,,,,,,,,,,
K,BALIVE,0.3,SEDAR 30/Manooch & Drennon 1987,,,,,,,,,,
t0,BALIVE,-0.6,SEDAR 30/Manooch & Drennon 1987,,,,,,,,,,
tmax,BALIVE,7,SEDAR 30/Manooch & Drennon 1987,,,,,,,,,,
M,BALIVE,0.42796,Estimated from tmax,,,,,,,,,,
Wa,BALIVE,0.000101,Manooch & Drennon 1987,,,,,,,,,,
Wb,BALIVE,2.75,Manooch & Drennon 1987,,,,,,,,,,
m50,BALIVE,,,,,,,,,,,,
m95,BALIVE,,,,,,,,,,,,
Linf,ACANCH,24.95,Choat & Robertson 2002,,,,,,,,,,
K,ACANCH,0.705,Choat & Robertson 2002,,,,,,,,,,
t0,ACANCH,-0.19,Choat & Robertson 2002,,,,,,,,,,
tmax,ACANCH,13,Choat & Robertson 2002,,,,,,,,,,
M,ACANCH,0.230440944,Estimated from tmax,,,,,,,,,,
Wa,ACANCH,0.0525,Bohnsack & Harper 1988,,,,,,,,,,
Wb,ACANCH,2.783,Bohnsack & Harper 1988,,,,,,,,,,
m50,ACANCH,,,,,,,,,,,,
m95,ACANCH,,,,,,,,,,,,
Linf,CARARU,59.27,Garcia-Arteaga & Reshetnikov 1985,,,,,,,,,,
K,CARARU,0.14,Garcia-Arteaga & Reshetnikov 1985,,,,,,,,,,
t0,CARARU,-1.73,Garcia-Arteaga & Reshetnikov 1985,,,,,,,,,,
tmax,CARARU,unknown,,,,,,,,,,,
M,CARARU,1.17,Opitz 1996,,,,,,,,,,
Wa,CARARU,0.0362,Bohnsack & Harper 1988,,,,,,,,,,
Wb,CARARU,2.748,Bohnsack & Harper 1988,,,,,,,,,,
m50,CARARU,,,,,,,,,,,,
m95,CARARU,,,,,,,,,,,,
Linf,HOLOAD,20.58,Kishore & Chin 2001,,,,,,,,,,
K,HOLOAD,0.252,Kishore & Chin 2001,,,,,,,,,,
t0,HOLOAD,-1.625,Kishore & Chin 2001,,,,,,,,,,
tmax,HOLOAD,8,Kishore & Chin 2001,,,,,,,,,,
M,HOLOAD,0.374466534,Estimated from tmax,,,,,,,,,,
Linf,HOLOAD,30,Stevenson 1978,,,,,,,,,,
K,HOLOAD,0.26,Stevenson 1978,,,,,,,,,,
t0,HOLOAD,0,Stevenson 1978,,,,,,,,,,
tmax,HOLOAD,unknown,,,,,,,,,,,
M,HOLOAD,1,Stevenson 1978,,,,,,,,,,
Wa,HOLOAD,0.0198,Bohnsack & Harper 1988,,,,,,,,,,
Wb,HOLOAD,3,Bohnsack & Harper 1988,,,,,,,,,,
m50,HOLOAD,14.6,Shinozaki-Mendes et al 2007,,,,,,,,,,
m95,HOLOAD,16.644,Shinozaki-Mendes et al 2007,,,,,,,,,,
Linf,LUTJMA,58.89,Ault et al 1998,,,,,,,,,,
K,LUTJMA,0.097,Ault et al 1998,,,,,,,,,,
t0,LUTJMA,-1.728,Ault et al 1998,,,,,,,,,,
tmax,LUTJMA,10,Ault et al 1998,,,,,,,,,,
M,LUTJMA,0.3,Ault et al 1998,,,,,,,,,,
M,LUTJMA,0.299573227,Estimated from tmax,,,,,,,,,,
Wa,LUTJMA,0.0428,Bohnsack & Harper 1988,,,,,,,,,,
Wb,LUTJMA,2.719,Bohnsack & Harper 1988,,,,,,,,,,
m50,LUTJMA,,,,,,,,,,,,
m95,LUTJMA,,,,,,,,,,,,
Linf,LUTJVI,74.07,SEDAR26 Base,,,,,,,,,,
K,LUTJVI,0.1,SEDAR26 Base,,,,,,,,,,
