Linf,ACANCO,Blue Tang,23.1,Mutz 2006
K,ACANCO,,0.49,Mutz 2007
t0,ACANCO,,-0.25,Mutz 2008
tmax,ACANCO,,16,Mutz 2009
M,ACANCO,,0.19,Calculated
Wa,ACANCO,,,
Wb,ACANCO,,,
m50,ACANCO,,14,Calculated
m95,ACANCO,,16.96,Calculated
Linf,BALIVE,,41.59,Manooch and Drennon 1987
K,BALIVE,,0.3,Manooch and Drennon 1988
t0,BALIVE,,-0.6,Manooch and Drennon 1989
tmax,BALIVE,,7,Manooch and Drennon 1990
M,BALIVE,,0.43,Calculated
Wa,BALIVE,,,
Wb,BALIVE,,,
m50,BALIVE,,23.69,Calculated
m95,BALIVE,,27.01,Calculated
Linf,ACANCH,,36.69,Kishore and Chin 2001
K,ACANCH,,0.08,Kishore and Chin 2002
t0,ACANCH,,-4.31,Kishore and Chin 2003
tmax,ACANCH,,27,Kishore and Chin 2004
M,ACANCH,,0.11,Calculated
Wa,ACANCH,,,
Wb,ACANCH,,,
m50,ACANCH,,21.21,Calculated
m95,ACANCH,,24.18,Calculated
Linf,CARARU,,,
K,CARARU,,,
t0,CARARU,,,
tmax,CARARU,,,
M,CARARU,,,
Wa,CARARU,,,
Wb,CARARU,,,
m50,CARARU,,,
m95,CARARU,,,
Linf,HOLOAD,,,
K,HOLOAD,,,
t0,HOLOAD,,,
tmax,HOLOAD,,,
M,HOLOAD,,,
Linf,HOLOAD2,,,
K,HOLOAD2,,,
t0,HOLOAD2,,,
tmax,HOLOAD,,,
M,HOLOAD,,,
Wa,HOLOAD,,,
Wb,HOLOAD,,,
m50,HOLOAD,,,
m95,HOLOAD,,,
Linf,LUTJMA,,,
K,LUTJMA,,,
t0,LUTJMA,,,
tmax,LUTJMA,,,
M,LUTJMA,,,
Wa,LUTJMA,,,
Wb,LUTJMA,,,
m50,LUTJMA,,,
m95,LUTJMA,,,
Linf,LUTJVI,,,
K,LUTJVI,,,
t0,LUTJVI,,,
tmax,LUTJVI,,,
M,LUTJVI,,,
M,LUTJVI2,,,
Wa,LUTJVI,,,
Wb,LUTJVI,,,
m50,LUTJVI,,,
m95,LUTJVI,,,
Linf,LUTJSY,,,
K,LUTJSY,,,
t0,LUTJSY,,,
tmax,LUTJSY,,,
M,LUTJSY,,,
M,LUTJSY2,,,
Linf,LUTJSY3,,,
K,LUTJSY3,,,
t0,LUTJSY3,,,
M,LUTJSY3,,,
Wa,LUTJSY,,,
Wb,LUTJSY,,,
m50,LUTJSY,,,
m95,LUTJSY,,,
Linf,SCARCH,,,
K,SCARCH,,,
t0,SCARCH,,,
tmax,SCARCH,,,
M,SCARCH,,,
Linf,SCARCH2,,,
K,SCARCH2,,,
t0,SCARCH2,,,
M,SCARCH2,,,
Wa,SCARCH,,,
Wb,SCARCH,,,
m50,SCARCH,,,
m95,SCARCH,,,
Linf,SERRFU,,,
K,SERRFU,,,
t0,SERRFU,,,
tmax,SERRFU,,,
M,SERRFU,,,
M,SERRFU,,,
Linf,SERRFU,,,
K,SERRFU,,,
t0,SERRFU,,,
Wa,SERRFU,,,
Wb,SERRFU,,,
m50,SERRFU,,,
m95,SERRFU,,,
Linf,SERRGU,,,
K,SERRGU,,,
t0,SERRGU,,,
tmax,SERRGU,,,
M,SERRGU,,,
Linf,SERRGU,,,
K,SERRGU,,,
t0,SERRGU,,,
tmax,SERRGU,,,
M,SERRGU,,,
tmax,SERRGU,,,
M,SERRGU,,,
Wa,SERRGU,,,
Wb,SERRGU,,,
m50,SERRGU,,,
m95,SERRGU,,,
