Parameter,Species,Value,Source,,0.299573227
Linf,ACANCO,18.8,SEDAR30 low,,0.085592351
K,ACANCO,1.03,SEDAR30 low,,
t0,ACANCO,-0.15,SEDAR30 low,,
Linf,ACANCO,24.4,SEDAR30 high,,
K,ACANCO,0.42,SEDAR30 high,,
t0,ACANCO,-0.092,SEDAR30 high,,
M,ACANCO,0.7,Opitz 1996,,
Wa,ACANCO,0.0305,Bohnsack & Harper 1988,,
Wb,ACANCO,3,Bohnsack & Harper 1988,,
m50,ACANCO,,,,
m95,ACANCO,,,,
Linf,BALIVE,41.5,Manooch & Drennon 1987,,
K,BALIVE,0.3,Manooch & Drennon 1987,,
t0,BALIVE,-0.6,Manooch & Drennon 1987,,
M,BALIVE,0.56,Opitz 1996,,
Wa,BALIVE,0.0525,Bohnsack & Harper 1988,,
Wb,BALIVE,2.7837,Bohnsack & Harper 1988,,
m50,BALIVE,,,,
m95,BALIVE,,,,
Linf,ACANCH,20,Choat & Robertson 2002,,
K,ACANCH,0.705,Choat & Robertson 2002,,
t0,ACANCH,0,Choat & Robertson 2002,,
M,ACANCH,0.71,Opitz 1996,,
Wa,ACANCH,0.0512,Bohnsack & Harper 1988,,
Wb,ACANCH,2.7443,Bohnsack & Harper 1988,,
m50,ACANCH,,,,
m95,ACANCH,,,,
Linf,CARARU,56,Garcia-Arteaga & Reshetnikov 1985,,
K,CARARU,0.14,Garcia-Arteaga & Reshetnikov 1985,,
t0,CARARU,-1.73,Garcia-Arteaga & Reshetnikov 1985,,
M,CARARU,1.17,Opitz 1996,,
Wa,CARARU,0.0362,Bohnsack & Harper 1988,,
Wb,CARARU,2.748,Bohnsack & Harper 1988,,
m50,CARARU,,,,
m95,CARARU,,,,
Linf,HOLOAD,24.9,Kishore & Chin 2001,,
K,HOLOAD,0.252,Kishore & Chin 2001,,
t0,HOLOAD,-1.625,Kishore & Chin 2001,,
Linf,HOLOAD,30,Stevenson 1978,,
K,HOLOAD,0.26,Stevenson 1978,,
t0,HOLOAD,0,Stevenson 1978,,
M,HOLOAD,1,Stevenson 1978,,
Wa,HOLOAD,0.0198,Bohnsack & Harper 1988,,
Wb,HOLOAD,3,Bohnsack & Harper 1988,,
m50,HOLOAD,14.6,Shinozaki-Mendes et al 2007,,
m95,HOLOAD,16.644,Shinozaki-Mendes et al 2007,,
Linf,LUTJMA,61.83,Ault et al 1998,,
K,LUTJMA,0.097,Ault et al 1998,,
t0,LUTJMA,-1.728,Ault et al 1998,,
M,LUTJMA,0.3,Ault et al 1998,,
Wa,LUTJMA,0.0428,Bohnsack & Harper 1988,,
Wb,LUTJMA,2.719,Bohnsack & Harper 1988,,
m50,LUTJMA,,,,
m95,LUTJMA,,,,
Linf,LUTJVI,79.4,SEDAR26 Base,,
K,LUTJVI,0.1,SEDAR26 Base,,
t0,LUTJVI,-1.87,SEDAR26 Base,,
M,LUTJVI,0.21,SEDAR26 Base,,
Wa,LUTJVI,0.0373,Bohnsack & Harper 1988,,
Wb,LUTJVI,2.7812,Bohnsack & Harper 1988,,
m50,LUTJVI,32.78846154,SEDAR26 Base,,
m95,LUTJVI,37.37884615,SEDAR26 Base,,
Linf,LUTJSY,46.5,Martinez-Andrade 2003,,
K,LUTJSY,0.27,Martinez-Andrade 2003,,
t0,LUTJSY,-0.815,Martinez-Andrade 2003,,
M,LUTJSY,0.73,Martinez-Andrade 2003,,
Linf,LUTJSY,61.8,Ault et al 1998,,
K,LUTJSY,0.097,Ault et al 1999,,
t0,LUTJSY,-1.728,Ault et al 2000,,
M,LUTJSY,0.3,Ault et al 2002,,
Wa,LUTJSY,0.0202,Bohnsack & Harper 1988,,
Wb,LUTJSY,3,Bohnsack & Harper 1988,,
m50,LUTJSY,,,,
m95,LUTJSY,,,,
Linf,SCARCH,26.3,SEDAR26 Base,,
K,SCARCH,0.71,SEDAR26 Base,,
t0,SCARCH,-0.05,SEDAR26 Base,,
M,SCARCH,1.38,Opitz 1996,,
Linf,SCARCH,32.025,Murray & Aiken 2006,,
K,SCARCH,0.36,Murray & Aiken 2006,,
t0,SCARCH,0,Murray & Aiken 2006,,
M,SCARCH,0.697,Murray & Aiken 2006,,
Wa,SCARCH,0.02,SEDAR26 Base,,
Wb,SCARCH,3,SEDAR26 Base,,
m50,SCARCH,,,,
m95,SCARCH,,,,
Linf,SERRFU,37.7,Burton et al 2015,,
K,SERRFU,0.2,Burton et al 2015,,
t0,SERRFU,-3.53,Burton et al 2015,,
M,SERRFU,0.22,Burton et al 2015,,
Linf,SERRFU,46.5,Kishore & Chin 2001,,
K,SERRFU,0.15,Kishore & Chin 2001,,
t0,SERRFU,-2.409,Kishore & Chin 2001,,
Wa,SERRFU,0.0174,Bohnsack & Harper 1988,,
Wb,SERRFU,3,Bohnsack & Harper 1988,,
m50,SERRFU,,,,
m95,SERRFU,,,,
Linf,SERRGU,51.45,Sadovy et al 1992 Puerto Rico ,,
K,SERRGU,0.1013,Sadovy et al 1992 Puerto Rico ,,
t0,SERRGU,-2.944,Sadovy et al 1992 Puerto Rico ,,
M,SERRGU,0.23,Sadovy et al 1992 Puerto Rico ,,
Linf,SERRGU,60.1,Sadovy et al 1992 St Thomas,,
K,SERRGU,0.071,Sadovy et al 1992 St Thomas,,
t0,SERRGU,-4.69,Sadovy et al 1992 St Thomas,,
M,SERRGU,0.16,Sadovy et al 1992 St Thomas,,
Wa,SERRGU,0.0111,Bohnsack & Harper 1988,,
Wb,SERRGU,3.1124,Bohnsack & Harper 1988,,
m50,SERRGU,,,,
m95,SERRGU,,,,
Linf,PTERVO,42.5,Barbour et al 2011,,
K,PTERVO,0.47,Barbour et al 2011,,
t0,PTERVO,0,Barbour et al 2011,,
M,PTERVO,0.2,Barbour et al 2011,,
M,PTERVO,0.5,Barbour et al 2011,,
Wa,PTERVO,,,,
Wb,PTERVO,,,,
m50,PTERVO,,,,
m95,PTERVO,,,,
Linf,BELO,,,,
