Parameter,Species,Value,Source,Sci Name
Linf,ACANCO,24.4,SEDAR30 high,Acanthurus coeruleus
K,ACANCO,0.42,SEDAR30 high,Acanthurus coeruleus
t0,ACANCO,-0.092,SEDAR30 high,Acanthurus coeruleus
Wa,ACANCO,0.0305,Bohnsack & Harper 1988,Acanthurus coeruleus
Wb,ACANCO,3,Bohnsack & Harper 1988,Acanthurus coeruleus
tmax,ACANCO,37,Mutz 2006,Acanthurus coeruleus
M,ACANCO,0.08097,Mutz 2007,Acanthurus coeruleus
Linf,BALIVE,46,De Alblurquerque et al. 2011,Balistes vetula
K,BALIVE,0.14,De Alblurquerque et al. 2012,Balistes vetula
t0,BALIVE,-1.8,De Alblurquerque et al. 2013,Balistes vetula
tmax,BALIVE,14,De Alblurquerque et al. 2014,Balistes vetula
M,BALIVE,0.21398,De Alblurquerque et al. 2015,Balistes vetula
Linf,ACANCH,23.9,Mutz 2006,Acanthurus chirurgus
K,ACANCH,0.73,Mutz 2006,Acanthurus chirurgus
t0,ACANCH,-0.165,Mutz 2006,Acanthurus chirurgus
tmax,ACANCH,13,Mutz 2006,Acanthurus chirurgus
M,ACANCH,0.23044,Mutz 2006,Acanthurus chirurgus
Linf,CARARU,52,Thompson and Munro 1983,Caranx ruber
K,CARARU,0.24,Thompson and Munro 1984,Caranx ruber
t0,CARARU,,Thompson and Munro 1985,Caranx ruber
tmax,CARARU,20,Ault et al. 2013,Caranx ruber
M,CARARU,0.149786614,assumed,Caranx ruber
Linf,HOLOAD,30,Stevenson 1978,Holocentrus adscensionis
K,HOLOAD,0.26,Stevenson 1978,Holocentrus adscensionis
t0,HOLOAD,0,Stevenson 1978,Holocentrus adscensionis
tmax,HOLOAD,8.4,Fish base,Holocentrus adscensionis
M,HOLOAD,0.356634794,Fish base,Holocentrus adscensionis
Linf,LUTJMA,58.89,Ault et al. 1998,Lutjanus mahogoni
K,LUTJMA,0.097,Ault et al. 1998,Lutjanus mahogoni
t0,LUTJMA,-1.728,Ault et al. 1998,Lutjanus mahogoni
tmax,LUTJMA,2,Martinez-Andrade 2003,Lutjanus mahogoni
M,LUTJMA,1.4978,Martinez-Andrade 2004,Lutjanus mahogoni
Linf,LUTJVI,72.85447761,Ault et al. 1998,Lutjanus vivanus
K,LUTJVI,0.09,Ault et al. 1998,Lutjanus vivanus
t0,LUTJVI,-2.309,Ault et al. 1998,Lutjanus vivanus
tmax,LUTJVI,9,Ault et al. 1998,Lutjanus vivanus
M,LUTJVI,0.332859142,Ault et al. 1998,Lutjanus vivanus
Linf,LUTJSY,59.566,Ault et al 1998,Lutjanus vivanus
K,LUTJSY,0.097,Ault et al 1998,Lutjanus vivanus
t0,LUTJSY,-1.728,Ault et al 1998,Lutjanus vivanus
tmax,LUTJSY,12.2,Martinez-Andrade 2003,Lutjanus synagris
M,LUTJSY,0.3,Ault et al 1998,Lutjanus vivanus
Linf,SCARCH,40.0029,Molina-Urena 2009,Sparisoma chrysopterum
K,SCARCH,0.6244,Molina-Urena 2009,Sparisoma chrysopterum
t0,SCARCH,,Molina-Urena 2009,Sparisoma chrysopterum
tmax,SCARCH,5,Molina-Urena 2009,Sparisoma chrysopterum
M,SCARCH,0.599146455,Molina-Urena 2009,Sparisoma chrysopterum
Linf,SERRFU,31.5,Araujo &Silva Martins 2009,Cephalopholis fulva
K,SERRFU,0.14,Araujo &Silva Martins 2009,Cephalopholis fulva
t0,SERRFU,5.74,Araujo &Silva Martins 2009,Cephalopholis fulva
tmax,SERRFU,,Araujo &Silva Martins 2009,Cephalopholis fulva
M,SERRFU,0.17,Araujo &Silva Martins 2009,Cephalopholis fulva
Linf,SERRGU,47.14,Potts and Manooch 1995,Cephalopholis guttas
K,SERRGU,0.2,Potts and Manooch 1995,Cephalopholis guttas
t0,SERRGU,-2.397,Potts and Manooch 1995,Cephalopholis guttas
tmax,SERRGU,11,Potts and Manooch 1995,Cephalopholis guttas
M,SERRGU,0.272339298,Potts and Manooch 1995,Cephalopholis guttas
Linf,PTERVO,34.9,Edwards et al. 2014,Pterois volitans
K,PTERVO,0.42,Edwards et al. 2014,Pterois volitans
t0,PTERVO,-1.01,Edwards et al. 2014,Pterois volitans
tmax,PTERVO,10,Edwards et al. 2014,Pterois volitans
M,PTERVO,0.299573,Edwards et al. 2014,Pterois volitans
