Date,Vessel ID/ Length,Surveyor,Port,Area fished,% of total catch surveyed,Gear Type,No. of gears,Species ID,Species common name,% of individuals sampled out of total,Length (cm),Length Type,Weight (kg)
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,ACANCH,Doctorfish,,18,FL,0.15
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,ACANCH,Doctorfish,,24.5,FL,0.35
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,ACANCH,Doctorfish,100,17,FL,
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,ACANCH,Doctorfish,100,19.5,FL,
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,ACANCH,Doctorfish,100,18,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCH,Doctorfish,100,16.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCH,Doctorfish,100,20.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCH,Doctorfish,100,18.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCH,Doctorfish,100,19,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCH,Doctorfish,100,27,FL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,ACANCH,Doctorfish,100,22.5,FL,0.08
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,ACANCH,Doctorfish,100,20.5,FL,0.19
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,ACANCH,Doctorfish,,19,FL,
6/19/2015,Try me,LL/JA,Carr's Bay,2 and 3,1,pot,20,ACANCH,Doctorfish,,18,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,16.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,15.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,23,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,16,FL,
