Date,Vessel ID/ Length,Surveyor,Port,Area fished,% of total catch surveyed,Gear Type,No. of gears,Species ID,COMMON_NAME,% of individuals sampled out of total,Length,Length Type,Weight (kg)
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,ACANCH,Doctorfish,,18,FL,0.15
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,ACANCH,Doctorfish,,24.5,FL,0.35
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,24,FL,0.21
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,26,FL,0.36
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,23.5,FL,0.22
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,28.5,FL,0.36
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,26,FL,0.36
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,30.5,FL,0.47
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,30,FL,0.46
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJSY,Lane Snapper,,25,FL,0.28
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJMA,Mahogany Snapper,,30.5,FL,0.39
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJMA,Mahogany Snapper,,28.5,FL,0.33
6/15/15,Everytime,LT/KS,John Ogarro processing shop,"8,9",,pots,,LUTJMA,Mahogany Snapper,,23.5,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,5",90,pots,24,LUTJMA,Mahogany Snapper,100,26,TL,0.2
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,33.5,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,35.5,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,31,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,28,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,28.5,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,30,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,35.5,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,26,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,36.5,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,29.5,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,BALIVE,Queen Triggerfish,100,28,FL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,43,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,33,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,32,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,28,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,25.5,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,30.5,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,33.5,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,29,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,28,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,32,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,30.5,TL,0.36
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,37,TL,0.67
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,40,TL,0.92
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,35.5,TL,0.6
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,SERRGU,Red Hind,100,32,TL,0.43
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,HOLOAD,Squirrelfish,100,29.5,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,HOLOAD,Squirrelfish,100,28.5,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,HOLOAD,Squirrelfish,100,27.5,TL,
