DATE,EXPEDITION,STATION N1/4,DEPTH_M,TRANSECT LENGTH,TIME START,TIME END,DURAT,DIVER,BUDDIE,DATATYPE,SPECIES_CODE,FAMILY,GENUS,SPECIES,COMMON_NAME,NUMBER,MIN,MAX,AVG,COMMENT,a,b,BIOMASS (KG)
12-Oct-15,MONTSERRAT,MA070N,5,30,1151,1207,16,EG,EA,QUAL,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,,,,,0.017,3.12,0
12-Oct-15,MONTSERRAT,MP049S,5,30,1230,1245,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,12,12,12,,0.017,3.12,0.079163394
12-Oct-15,MONTSERRAT,MP049S,5,30,1230,1245,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,20,10,13,11.5,,0.017,3.12,0.693196209
12-Oct-15,MONTSERRAT,MP049S,5,30,1230,1245,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,100,10,12,11,,0.017,3.12,3.017130527
12-Oct-15,MONTSERRAT,MP076,13.3,30,940,957,17,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,9,23,23,23,,0.017,3.12,2.711953753
12-Oct-15,MONTSERRAT,MP062,9.2,30,1204,1220,16,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,27,20,20,20,,0.017,3.12,5.26049088
12-Oct-15,MONTSERRAT,MP-017,10,30,1045,1110,35,GM,AE,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,2,6,4,,0.017,3.12,0.00770952
12-Oct-15,MONTSERRAT,MA-028,10,30,1125,1145,20,GM,AE,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,1,1,1,,0.017,3.12,0.000017
13-Oct-15,MONTSERRAT,WPT0008,10,30,1107,1121,14,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,13,14,13.5,,0.017,3.12,0.114319489
13-Oct-15,MONTSERRAT,WPT0008,10,30,1107,1121,14,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,4,12,13,12.5,,0.017,3.12,0.179832488
13-Oct-15,MONTSERRAT,WPT0008,10,30,1107,1121,14,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,20,15,19,17,,0.017,3.12,2.346818763
13-Oct-15,MONTSERRAT,MSA013,5,30,1523,1538,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,4,13,15,14,,0.017,3.12,0.25611109
13-Oct-15,MONTSERRAT,MSA013,5,30,1523,1538,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,10,12,17,14.5,,0.017,3.12,0.714359934
13-Oct-15,MONTSERRAT,MSA068,7.4,30,932,948,16,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,8,8,8,,0.017,3.12,0.011170939
13-Oct-15,MONTSERRAT,MSA068,7.4,30,932,948,16,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,15,15,15,,0.017,3.12,0.476436362
13-Oct-15,MONTSERRAT,MSA051,7.6,30,1059,1115,16,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,13,15,16,15.5,,0.017,3.12,1.143476311
13-Oct-15,MONTSERRAT,MSA051,7.6,30,1059,1115,16,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,5,12,12,12,,0.017,3.12,0.197908485
13-Oct-15,MONTSERRAT,MSA167,7.6,30,1235,1252,17,MC,RM,QUAL,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,12,12,12,,0.017,3.12,0.039581697
13-Oct-15,MONTSERRAT,MSA021,5,30,1317,1334,17,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,3,14,16,15,,0.017,3.12,0.238218181
13-Oct-15,MONTSERRAT,MSA021,5,30,1317,1334,17,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,13,18,15.5,,0.017,3.12,0.087959716
13-Oct-15,MONTSERRAT,MSA021,5,30,1317,1334,17,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,18,18,18,,0.017,3.12,0.140248795
13-Oct-15,MONTSERRAT,MSA021,5,30,1317,1334,17,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,14,14,14,,0.017,3.12,0.064027772
13-Oct-15,MONTSERRAT,MSA124,5,30,1146,1202,16,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,3,12,14,13,,0.017,3.12,0.152431048
13-Oct-15,MONTSERRAT,MSA152,,30,1016,1030,14,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,14,14,14,,0.017,3.12,0.064027772
13-Oct-15,MONTSERRAT,WPT0013,10,30,1404,1420,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,11,11,11,,0.017,3.12,0.060342611
13-Oct-15,MONTSERRAT,MSA-076,6,30,1052,1116,24,GM,AE,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,11,5,5,5,,0.017,3.12,0.028354893
