"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Blue tang","All","LBSPR",1994,"DBSRA",701.717,2431.00374689655,1284.10611016345,6581.0426290983,1403.35164029683,"OFL",NA
"2","Blue tang","All","LBSPR",1995,"DBSRA",1642.468,2324.56424615488,1190.27013474245,6458.80804162067,1401.74891885733,"OFL",NA
"3","Blue tang","All","LBSPR",1996,"DBSRA",1502.767,2403.95037762748,1129.6345811649,6776.51861167575,1477.92562536684,"OFL",NA
"4","Blue tang","All","LBSPR",1997,"DBSRA",1124.921,1436.80199579523,959.370787291349,4128.67266710822,1113.45326107555,"OFL",NA
"5","Blue tang","All","LBSPR",1998,"DBSRA",763.415,1492.63528383841,956.633617534166,4583.53451150845,1284.41166309871,"OFL",NA
"6","Blue tang","All","LBSPR",1999,"DBSRA",965.253,1477.55267393771,1004.819325045,4574.19482004882,1093.02398213762,"OFL",NA
"7","Blue tang","All","LBSPR",2000,"DBSRA",684.942,1442.24462659922,1024.96648300999,4171.38933394456,907.461557947048,"OFL",NA
"8","Blue tang","All","LBSPR",2001,"DBSRA",1251.942,1504.70629463279,1084.50671266591,4192.27180552335,934.428583247752,"OFL",NA
"9","Blue tang","All","LBSPR",2002,"DBSRA",1058.709,1480.2621959115,1061.32162697995,3238.29113074792,883.142493408907,"OFL",NA
"10","Blue tang","All","LBSPR",2003,"DBSRA",783.364,1526.48777817053,1083.24221262959,3628.08447187909,999.087480017507,"OFL",NA
"11","Blue tang","All","LBSPR",2004,"DBSRA",1059.163,1585.52998647141,1148.56771654729,3871.14293008908,931.354376507954,"OFL",NA
"12","Blue tang","All","LBSPR",2005,"DBSRA",2885.808,1598.04815899181,1177.47423824964,3989.13957957846,939.932063872802,"OFL",NA
"13","Blue tang","All","LBSPR",2006,"DBSRA",2448.077,1372.47958609898,948.836083514973,4026.75495248062,1036.39048196156,"OFL",NA
"14","Blue tang","All","LBSPR",2007,"DBSRA",1436.099,1211.75326302983,754.758316670716,4146.46184007903,1089.85178861318,"OFL",NA
"15","Blue tang","All","LBSPR",2008,"DBSRA",943.944,1165.59586097792,669.120808032781,3298.03997678964,1155.83498119576,"OFL",NA
"16","Blue tang","All","LBSPR",2009,"DBSRA",692.656,1086.63594756936,640.333502645409,2840.30233025103,791.366468338048,"OFL",NA
"17","Blue tang","All","LBSPR",2010,"DBSRA",630.056,1156.18314881224,641.347834366475,3188.9109796502,920.536047236312,"OFL",NA
"18","Blue tang","All","LBSPR",2011,"DBSRA",1226.083,1216.39426479536,649.490247163571,3111.71475170873,997.624174705788,"OFL",NA
"19","Blue tang","All","LBSPR",2012,"DBSRA",1090.006,1184.92143571677,574.210568038516,3339.49047725316,981.226164532722,"OFL",NA
"20","Blue tang","All","LBSPR",2013,"DBSRA",417.758232,1147.41527902092,506.827583834282,2941.2238477092,903.007362055362,"OFL",NA
"21","Blue tang","All","LBSPR",2014,"DBSRA",1008.788608,1226.60286683222,523.63779932918,3340.21150946773,752.143834752807,"OFL",NA
