Year,Month,Catch,Units,Sex,Special
1994,-999,701.717,Kilograms,-999,-999
1995,-999,1642.468,Kilograms,-999,-999
1996,-999,1502.767,Kilograms,-999,-999
1997,-999,1124.921,Kilograms,-999,-999
1998,-999,763.415,Kilograms,-999,-999
1999,-999,965.253,Kilograms,-999,-999
2000,-999,684.942,Kilograms,-999,-999
2001,-999,1251.942,Kilograms,-999,-999
2002,-999,1058.709,Kilograms,-999,-999
2003,-999,783.364,Kilograms,-999,-999
2004,-999,1059.163,Kilograms,-999,-999
2005,-999,2885.808,Kilograms,-999,-999
2006,-999,2448.077,Kilograms,-999,-999
2007,-999,1436.099,Kilograms,-999,-999
2008,-999,943.944,Kilograms,-999,-999
2009,-999,692.656,Kilograms,-999,-999
2010,-999,630.056,Kilograms,-999,-999
2011,-999,1226.083,Kilograms,-999,-999
2012,-999,1090.006,Kilograms,-999,-999
2013,-999,519.36,Kilograms,-999,-999
2014,-999,1008.788608,Kilograms,-999,-999
