Year,Month,Catch,Units,Sex,Special
1994,-999,1316.344,Kilograms,-999,-999
1995,-999,348.816,Kilograms,-999,-999
1996,-999,233.146,Kilograms,-999,-999
1997,-999,454.284,Kilograms,-999,-999
1998,-999,785.648,Kilograms,-999,-999
1999,-999,1063.224,Kilograms,-999,-999
2000,-999,1033.302,Kilograms,-999,-999
2001,-999,1619.803,Kilograms,-999,-999
2002,-999,1436.092,Kilograms,-999,-999
2003,-999,1516.837,Kilograms,-999,-999
2004,-999,1523.182,Kilograms,-999,-999
2005,-999,2450.806,Kilograms,-999,-999
2006,-999,2106.065,Kilograms,-999,-999
2007,-999,1286.411,Kilograms,-999,-999
2008,-999,1242.411,Kilograms,-999,-999
2009,-999,589.684,Kilograms,-999,-999
2010,-999,518.922,Kilograms,-999,-999
2011,-999,1063.247,Kilograms,-999,-999
2012,-999,836.897,Kilograms,-999,-999
2013,-999,386.46,Kilograms,-999,-999
2014,-999,781.56,Kilograms,-999,-999
