Year,Month,Catch,Units,Sex,Special
1994,-999,9.979,Kilograms,-999,-999
1995,-999,14.061,Kilograms,-999,-999
1996,-999,29.484,Kilograms,-999,-999
1997,-999,14.516,Kilograms,-999,-999
1998,-999,13.609,Kilograms,-999,-999
1999,-999,37.196,Kilograms,-999,-999
2000,-999,42.639,Kilograms,-999,-999
2001,-999,29.03,Kilograms,-999,-999
2002,-999,24.494,Kilograms,-999,-999
2003,-999,125.68,Kilograms,-999,-999
2004,-999,0,Kilograms,-999,-999
2005,-999,0,Kilograms,-999,-999
2006,-999,13.608,Kilograms,-999,-999
2007,-999,0,Kilograms,-999,-999
2008,-999,39.011,Kilograms,-999,-999
2009,-999,10.886,Kilograms,-999,-999
2010,-999,81.195,Kilograms,-999,-999
2011,-999,47.174,Kilograms,-999,-999
2012,-999,112.492,Kilograms,-999,-999
2013,-999,19.958048,Kilograms,-999,-999
2014,-999,9.07,Kilograms,-999,-999
