Year,Month,Catch,Units,Sex,Special
1995,-999,3371.836,Kilograms,-999,-999
1996,-999,2723.419,Kilograms,-999,-999
1997,-999,2109.923,Kilograms,-999,-999
1998,-999,2338.313,Kilograms,-999,-999
1999,-999,1791.256,Kilograms,-999,-999
2000,-999,1582.605,Kilograms,-999,-999
2001,-999,2723.637,Kilograms,-999,-999
2002,-999,2120.578,Kilograms,-999,-999
2003,-999,2736.564,Kilograms,-999,-999
2004,-999,3086.281,Kilograms,-999,-999
2005,-999,4112.34,Kilograms,-999,-999
2006,-999,3134.829,Kilograms,-999,-999
2007,-999,1515.93,Kilograms,-999,-999
2008,-999,1934.151,Kilograms,-999,-999
2009,-999,1408.887,Kilograms,-999,-999
2010,-999,1716.429,Kilograms,-999,-999
2011,-999,2343.302,Kilograms,-999,-999
2012,-999,1617.539,Kilograms,-999,-999
2013,-999,1053.69,Kilograms,-999,-999
2014,-999,2126.888,Kilograms,-999,-999
