"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Doctorfish","All","LBAR",2015,"LBAR",38,"2.98464547240018",1.91712703218432,6.34743625760933,0.860139039897098,"FvM","None"
"2","Doctorfish","All","LBAR",1994,"CatchMSY",1316.344,"1.59142099492383",0.98326650585702,3.35204971700602,0.380126848745012,"Catch/MSY",NA
"3","Doctorfish","All","LBAR",1995,"CatchMSY",348.816,"0.421708235662828",0.260554300021136,0.888254570300143,0.380126848745012,"Catch/MSY",NA
"4","Doctorfish","All","LBAR",1996,"CatchMSY",233.146,"0.281866623984696",0.174152541261662,0.593702697259292,0.380126848745012,"Catch/MSY",NA
"5","Doctorfish","All","LBAR",1997,"CatchMSY",454.284,"0.549215930834171",0.339335493872993,1.15682720750834,0.380126848745012,"Catch/MSY",NA
"6","Doctorfish","All","LBAR",1998,"CatchMSY",785.648,"0.949825214244844",0.586853712854358,2.00064052866602,0.380126848745012,"Catch/MSY",NA
"7","Doctorfish","All","LBAR",1999,"CatchMSY",1063.224,"1.28540639521804",0.79419403090934,2.70748353645704,0.380126848745012,"Catch/MSY",NA
"8","Doctorfish","All","LBAR",2000,"CatchMSY",1033.302,"1.24923158148385",0.771843262122265,2.6312876244217,0.380126848745012,"Catch/MSY",NA
"9","Doctorfish","All","LBAR",2001,"CatchMSY",1619.803,"1.9582939579932",1.20994058998766,4.12480338555537,0.380126848745012,"Catch/MSY",NA
"10","Doctorfish","All","LBAR",2002,"CatchMSY",1436.092,"1.73619278808742",1.07271439906986,3.65698615422307,0.380126848745012,"Catch/MSY",NA
"11","Doctorfish","All","LBAR",2003,"CatchMSY",1516.837,"1.83381110688184",1.13302830942721,3.8626020528025,0.380126848745012,"Catch/MSY",NA
"12","Doctorfish","All","LBAR",2004,"CatchMSY",1523.182,"1.8414820243721",1.13776781975252,3.87875949755433,0.380126848745012,"Catch/MSY",NA
"13","Doctorfish","All","LBAR",2005,"CatchMSY",2450.806,"2.96295202689061",1.83067302479703,6.24093972300299,0.380126848745012,"Catch/MSY",NA
"14","Doctorfish","All","LBAR",2006,"CatchMSY",2106.065,"2.5461703458019",1.57316261832603,5.36306207742526,0.380126848745012,"Catch/MSY",NA
"15","Doctorfish","All","LBAR",2007,"CatchMSY",1286.411,"1.55523288251472",0.960907520424779,3.27582579364013,0.380126848745012,"Catch/MSY",NA
"16","Doctorfish","All","LBAR",2008,"CatchMSY",1242.411,"1.50203818281871",0.928040939760675,3.16378047148402,0.380126848745012,"Catch/MSY",NA
"17","Doctorfish","All","LBAR",2009,"CatchMSY",589.684,"0.712910529444175",0.440474926189348,1.50162122159783,0.380126848745012,"Catch/MSY",NA
"18","Doctorfish","All","LBAR",2010,"CatchMSY",518.922,"0.627361362628509",0.387617994804046,1.32142687872486,0.380126848745012,"Catch/MSY",NA
"19","Doctorfish","All","LBAR",2011,"CatchMSY",1063.247,"1.28543420153833",0.794211211167415,2.70754210560271,0.380126848745012,"Catch/MSY",NA
"20","Doctorfish","All","LBAR",2012,"CatchMSY",836.897,"1.01178374071578",0.625135062682872,2.13114531764735,0.380126848745012,"Catch/MSY",NA
"21","Doctorfish","All","LBAR",2013,"CatchMSY",317.967992,"0.384413905622369",0.237511833128888,0.809700593158454,0.380126848745012,"Catch/MSY",NA
"22","Doctorfish","All","LBAR",2014,"CatchMSY",788.342896,"0.953083263868299",0.588866713235389,2.00750303981368,0.380126848745012,"Catch/MSY",NA
"23","Doctorfish","All","LBAR",2015,"LBSPR",38,"0.195445824175824",0.053563,0.481325,0.116140335425112,"SPR","None"
"24","Doctorfish","All","LBAR",2015,"LBSPR",38,"2.50370131868132",0.9826675,4.57905,0.952465076849667,"FvM",NA
