Year,Month,Catch,Units,Sex,Special
1994,-999,1316.341361,Kilograms,-999,-999
1995,-999,348.8153006,Kilograms,-999,-999
1996,-999,233.1455326,Kilograms,-999,-999
1997,-999,454.2830892,Kilograms,-999,-999
1998,-999,785.6464248,Kilograms,-999,-999
1999,-999,1063.221868,Kilograms,-999,-999
2000,-999,1033.299928,Kilograms,-999,-999
2001,-999,1619.799752,Kilograms,-999,-999
2002,-999,1436.089121,Kilograms,-999,-999
2003,-999,1516.833959,Kilograms,-999,-999
2004,-999,1523.178946,Kilograms,-999,-999
2005,-999,2450.801086,Kilograms,-999,-999
2006,-999,2106.060777,Kilograms,-999,-999
2007,-999,1286.408421,Kilograms,-999,-999
2008,-999,1242.408509,Kilograms,-999,-999
2009,-999,589.6828177,Kilograms,-999,-999
2010,-999,518.9209596,Kilograms,-999,-999
2011,-999,1063.244868,Kilograms,-999,-999
2012,-999,836.8953221,Kilograms,-999,-999
2013,-999,393.264264,Kilograms,-999,-999
2014,-999,788.342896,Kilograms,-999,-999
2015,-999,1134.887184,Kilograms,-999,-999
