Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,24,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,23.5,0,0,0,0,0
2015,-999,28.5,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,30.5,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,26.5,0,0,0,0,0
2015,-999,24.5,0,0,0,0,0
2015,-999,26.5,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,26.5,0,0,0,0,0
2015,-999,24.5,0,0,0,0,0
2015,-999,24.5,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,23.5,0,0,0,0,0
2015,-999,23.5,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,23.5,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,27,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,24.5,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,30.5,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,29.5,0,0,0,0,0
