Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,18,0,0,0,0,0
2015,-999,24.5,0,0,0,0,0
2015,-999,17,0,0,0,0,0
2015,-999,19.5,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,16.5,0,0,0,0,0
2015,-999,20.5,0,0,0,0,0
2015,-999,18.5,0,0,0,0,0
2015,-999,19,0,0,0,0,0
2015,-999,27,0,0,0,0,0
2015,-999,22.5,0,0,0,0,0
2015,-999,20.5,0,0,0,0,0
2015,-999,19,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,16.5,0,0,0,0,0
2015,-999,15.5,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,16,0,0,0,0,0
2015,-999,14,0,0,0,0,0
2015,-999,17.5,0,0,0,0,0
2015,-999,13,0,0,0,0,0
2015,-999,16.5,0,0,0,0,0
2015,-999,23.5,0,0,0,0,0
2015,-999,24.5,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,15.5,0,0,0,0,0
2015,-999,17.5,0,0,0,0,0
2015,-999,14.5,0,0,0,0,0
2015,-999,17.5,0,0,0,0,0
2015,-999,15.5,0,0,0,0,0
2015,-999,15.5,0,0,0,0,0
2015,-999,16,0,0,0,0,0
2015,-999,16.5,0,0,0,0,0
2015,-999,14.5,0,0,0,0,0
2015,-999,16,0,0,0,0,0
2015,-999,16.5,0,0,0,0,0
2015,-999,17.5,0,0,0,0,0
2015,-999,19.5,0,0,0,0,0
