"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Mahogany Snapper","All","LBAR",2015,"LBAR",32,"1.1531333532675",0.601890902417312,5.98175605588984,0.946221433267275,"FvM","None"
"2","Mahogany Snapper","All","LBAR",1994,"CatchMSY",9.979,"0.699664316673385",0.418626361357756,1.47542957923179,0.38539816207165,"Catch/MSY",NA
"3","Mahogany Snapper","All","LBAR",1995,"CatchMSY",6.35,"0.445221806882052",0.266387152482388,0.938869408570187,0.38539816207165,"Catch/MSY",NA
"4","Mahogany Snapper","All","LBAR",1996,"CatchMSY",26.309,"1.8446205538992",1.10368182593057,3.88987642048395,0.38539816207165,"Catch/MSY",NA
"5","Mahogany Snapper","All","LBAR",1997,"CatchMSY",6.351,"0.445291920552427",0.266429103215063,0.939017262020356,0.38539816207165,"Catch/MSY",NA
"6","Mahogany Snapper","All","LBAR",1998,"CatchMSY",6.351,"0.445291920552427",0.266429103215063,0.939017262020356,0.38539816207165,"Catch/MSY",NA
"7","Mahogany Snapper","All","LBAR",1999,"CatchMSY",18.144,"1.27214243528629",0.761154093644165,2.68265299985787,0.38539816207165,"Catch/MSY",NA
"8","Mahogany Snapper","All","LBAR",2000,"CatchMSY",15.876,"1.11312463087551",0.666009831938645,2.34732137487564,0.38539816207165,"Catch/MSY",NA
"9","Mahogany Snapper","All","LBAR",2001,"CatchMSY",6.35,"0.445221806882052",0.266387152482388,0.938869408570187,0.38539816207165,"Catch/MSY",NA
"10","Mahogany Snapper","All","LBAR",2002,"CatchMSY",1.814,"0.127186198060479",0.0760986290713468,0.26820615860572,0.38539816207165,"Catch/MSY",NA
"11","Mahogany Snapper","All","LBAR",2003,"CatchMSY",79.38,"5.56562315437753",3.33004915969322,11.7366068743782,0.38539816207165,"Catch/MSY",NA
"12","Mahogany Snapper","All","LBAR",2004,"CatchMSY",57.456,"4.02845104507326",2.41032129653986,8.49506783288325,0.38539816207165,"Catch/MSY",NA
"13","Mahogany Snapper","All","LBAR",2005,"CatchMSY",35.532,"2.49127893576899",1.49059343338649,5.25352879138833,0.38539816207165,"Catch/MSY",NA
"14","Mahogany Snapper","All","LBAR",2006,"CatchMSY",13.608,"0.954106826464719",0.570865570233124,2.0119897498934,0.38539816207165,"Catch/MSY",NA
"15","Mahogany Snapper","All","LBAR",2007,"CatchMSY",17.691,"1.24038094260636",0.742150411742666,2.61567538693152,0.38539816207165,"Catch/MSY",NA
"16","Mahogany Snapper","All","LBAR",2008,"CatchMSY",21.774,"1.526655058748",0.913435253252208,3.21936102396965,0.38539816207165,"Catch/MSY",NA
"17","Mahogany Snapper","All","LBAR",2009,"CatchMSY",2.268,"0.159017804410786",0.0951442617055207,0.335331624982234,0.38539816207165,"Catch/MSY",NA
"18","Mahogany Snapper","All","LBAR",2010,"CatchMSY",5.897,"0.41346031420212",0.247383470580889,0.871891795643841,0.38539816207165,"Catch/MSY",NA
"19","Mahogany Snapper","All","LBAR",2011,"CatchMSY",17.69,"1.24031082893598",0.742108461009992,2.61552753348136,0.38539816207165,"Catch/MSY",NA
"20","Mahogany Snapper","All","LBAR",2012,"CatchMSY",5.443,"0.381628707851812",0.228337837946715,0.804766329267327,0.38539816207165,"Catch/MSY",NA
"21","Mahogany Snapper","All","LBAR",2013,"CatchMSY",19.958048,"1.39933199880295",0.837254736350681,2.9508662554292,0.38539816207165,"Catch/MSY",NA
"22","Mahogany Snapper","All","LBAR",2014,"CatchMSY",11.793392,"0.826877999292652",0.494741435116311,1.74369369638998,0.38539816207165,"Catch/MSY",NA
"23","Mahogany Snapper","All","LBAR",2015,"LBSPR",32,"0.268679397959184",0.04518875,0.83972475,0.190085794755228,"SPR","None"
"24","Mahogany Snapper","All","LBAR",2015,"LBSPR",32,"1.27177377142857",0.2698565,2.802475,0.580960241799891,"FvM",NA
