"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Queen triggerfish","All","LBAR",2015,"LBAR",35,"1.01971301397485",NA,NA,NA,"FvM","None"
"2","Queen triggerfish","All","LBAR",2015,"LBAR",35,"1.01971301397485",-999,11.7582074461577,143.638644471859,"FvM","None"
"3","Queen triggerfish","All","LBAR",2015,"LBSPR",35,"0.7435858",0.44604875,1,0.186875457685626,"SPR","None"
"4","Queen triggerfish","All","LBAR",2015,"LBSPR",35,"0.616345501213257",5.0432325e-08,1.9429475,0.584208113087774,"FvM",NA
"5","Queen triggerfish","All","LBAR",1994,"CatchMSY",1941.86,"1.35652715689899",1.12916278032829,1.81236079461189,0.134232510434778,"Catch/MSY",NA
"6","Queen triggerfish","All","LBAR",1995,"CatchMSY",2605.933,"1.82042932217527",1.5153113775603,2.43214794196561,0.134232510434778,"Catch/MSY",NA
"7","Queen triggerfish","All","LBAR",1996,"CatchMSY",2171.605,"1.51702036014833",1.26275608930346,2.02678450731935,0.134232510434778,"Catch/MSY",NA
"8","Queen triggerfish","All","LBAR",1997,"CatchMSY",1443.123,"1.00812393285074",0.839154614151226,1.34688368214119,0.134232510434778,"Catch/MSY",NA
"9","Queen triggerfish","All","LBAR",1998,"CatchMSY",792.888,"0.553888593605785",0.461052608616963,0.740011703067281,0.134232510434778,"Catch/MSY",NA
"10","Queen triggerfish","All","LBAR",1999,"CatchMSY",1244.215,"0.86917256471686",0.723492563174565,1.16124050449982,0.134232510434778,"Catch/MSY",NA
"11","Queen triggerfish","All","LBAR",2000,"CatchMSY",1275.978,"0.891361276614001",0.741962276434825,1.19088528626538,0.134232510434778,"Catch/MSY",NA
"12","Queen triggerfish","All","LBAR",2001,"CatchMSY",1564.471,"1.09289413123548",0.909716675817503,1.46013919886462,0.134232510434778,"Catch/MSY",NA
"13","Queen triggerfish","All","LBAR",2002,"CatchMSY",1359.44,"0.949665412632614",0.790494191182417,1.26878135325265,0.134232510434778,"Catch/MSY",NA
"14","Queen triggerfish","All","LBAR",2003,"CatchMSY",1768.132,"1.23516580751554",1.02814252577808,1.65021840735105,0.134232510434778,"Catch/MSY",NA
"15","Queen triggerfish","All","LBAR",2004,"CatchMSY",1615.267,"1.12837874570915",0.939253796201854,1.5075477035576,0.134232510434778,"Catch/MSY",NA
"16","Queen triggerfish","All","LBAR",2005,"CatchMSY",3185.633,"2.22539095321682",1.85239832706042,2.97318877530916,0.134232510434778,"Catch/MSY",NA
"17","Queen triggerfish","All","LBAR",2006,"CatchMSY",2296.12,"1.60400293301212",1.33515971448374,2.14299582241987,0.134232510434778,"Catch/MSY",NA
"18","Queen triggerfish","All","LBAR",2007,"CatchMSY",1202.497,"0.840029578131055",0.699234165107899,1.12230460405921,0.134232510434778,"Catch/MSY",NA
"19","Queen triggerfish","All","LBAR",2008,"CatchMSY",1055.078,"0.737046934200548",0.613512203734157,0.984716716167757,0.134232510434778,"Catch/MSY",NA
"20","Queen triggerfish","All","LBAR",2009,"CatchMSY",1261.916,"0.881537970670054",0.733785432060371,1.17776105614898,0.134232510434778,"Catch/MSY",NA
"21","Queen triggerfish","All","LBAR",2010,"CatchMSY",1099.983,"0.76841626668618",0.639623795018102,1.02662708122087,0.134232510434778,"Catch/MSY",NA
"22","Queen triggerfish","All","LBAR",2011,"CatchMSY",1372.597,"0.958856511786683",0.798144791483561,1.28106093621677,0.134232510434778,"Catch/MSY",NA
"23","Queen triggerfish","All","LBAR",2012,"CatchMSY",1242.411,"0.867912342563334",0.722443563938929,1.15955681006589,0.134232510434778,"Catch/MSY",NA
"24","Queen triggerfish","All","LBAR",2013,"CatchMSY",595.566296,"0.416045365916052",0.346312965229821,0.555849034154171,0.134232510434778,"Catch/MSY",NA
"25","Queen triggerfish","All","LBAR",2014,"CatchMSY",1169.360176,"0.816881152575462",0.67996559357386,1.09137761618389,0.134232510434778,"Catch/MSY",NA
