Year,Month,Catch,Units,Sex,Special
1994,-999,1941.86,Kilograms,-999,-999
1995,-999,2605.933,Kilograms,-999,-999
1996,-999,2171.605,Kilograms,-999,-999
1997,-999,1443.123,Kilograms,-999,-999
1998,-999,792.888,Kilograms,-999,-999
1999,-999,1244.215,Kilograms,-999,-999
2000,-999,1275.978,Kilograms,-999,-999
2001,-999,1564.471,Kilograms,-999,-999
2002,-999,1359.44,Kilograms,-999,-999
2003,-999,1768.132,Kilograms,-999,-999
2004,-999,1615.267,Kilograms,-999,-999
2005,-999,3185.633,Kilograms,-999,-999
2006,-999,2296.12,Kilograms,-999,-999
2007,-999,1202.497,Kilograms,-999,-999
2008,-999,1055.078,Kilograms,-999,-999
2009,-999,1261.916,Kilograms,-999,-999
2010,-999,1099.983,Kilograms,-999,-999
2011,-999,1372.597,Kilograms,-999,-999
2012,-999,1242.411,Kilograms,-999,-999
2013,-999,745.7,Kilograms,-999,-999
2014,-999,1169.360176,Kilograms,-999,-999
