"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Red hind","All","CatchMSY",1995,"CatchMSY",3371.836,1.55017486142266,1.3191870188295,1.92652074784162,0.115266771979607,"Catch/MSY",NA
"2","Red hind","All","CatchMSY",1996,"CatchMSY",2723.419,1.25207028779598,1.0655022935972,1.55604341627709,0.115266771979607,"Catch/MSY",NA
"3","Red hind","All","CatchMSY",1997,"CatchMSY",2109.923,0.97002036698626,0.825479955825193,1.20551842849066,0.115266771979607,"Catch/MSY",NA
"4","Red hind","All","CatchMSY",1998,"CatchMSY",2338.313,1.07502085829139,0.914834575453927,1.33601056203438,0.115266771979607,"Catch/MSY",NA
"5","Red hind","All","CatchMSY",1999,"CatchMSY",1791.256,0.823515740852316,0.70080563307363,1.02344593529928,0.115266771979607,"Catch/MSY",NA
"6","Red hind","All","CatchMSY",2000,"CatchMSY",1582.605,0.727590098261543,0.619173640691499,0.904231809654408,0.115266771979607,"Catch/MSY",NA
"7","Red hind","All","CatchMSY",2001,"CatchMSY",2723.637,1.25217051156718,1.06558758326435,1.55616797201557,0.115266771979607,"Catch/MSY",NA
"8","Red hind","All","CatchMSY",2002,"CatchMSY",2120.578,0.97491891873921,0.829648586116117,1.21160623304825,0.115266771979607,"Catch/MSY",NA
"9","Red hind","All","CatchMSY",2003,"CatchMSY",2736.564,1.25811359730255,1.0706451040312,1.56355389876508,0.115266771979607,"Catch/MSY",NA
"10","Red hind","All","CatchMSY",2004,"CatchMSY",3086.281,1.41889321470154,1.20746733579573,1.76336701434155,0.115266771979607,"Catch/MSY",NA
"11","Red hind","All","CatchMSY",2005,"CatchMSY",4112.34,1.89061570302437,1.60889958616413,2.34961259449718,0.115266771979607,"Catch/MSY",NA
"12","Red hind","All","CatchMSY",2006,"CatchMSY",3134.829,1.44121277270269,1.22646110992654,1.79110523448815,0.115266771979607,"Catch/MSY",NA
"13","Red hind","All","CatchMSY",2007,"CatchMSY",1515.93,0.696936795762443,0.593087913366547,0.866136608445826,0.115266771979607,"Catch/MSY",NA
"14","Red hind","All","CatchMSY",2008,"CatchMSY",1934.151,0.889210583906068,0.756711444938632,1.10508993644964,0.115266771979607,"Catch/MSY",NA
"15","Red hind","All","CatchMSY",2009,"CatchMSY",1408.887,0.647724625392572,0.551208730613719,0.80497688406682,0.115266771979607,"Catch/MSY",NA
"16","Red hind","All","CatchMSY",2010,"CatchMSY",1716.429,0.789114621000795,0.671530541681891,0.980693035099286,0.115266771979607,"Catch/MSY",NA
"17","Red hind","All","CatchMSY",2011,"CatchMSY",2343.302,1.07731451147726,0.916786456873112,1.33886106010457,0.115266771979607,"Catch/MSY",NA
"18","Red hind","All","CatchMSY",2012,"CatchMSY",1617.539,0.743650727725414,0.632841114232855,0.92419158106829,0.115266771979607,"Catch/MSY",NA
"19","Red hind","All","CatchMSY",2013,"CatchMSY",827.8054,0.380576967927838,0.32386810562464,0.472972077608557,0.115266771979607,"Catch/MSY",NA
"20","Red hind","All","CatchMSY",2014,"CatchMSY",2164.994616,0.995339105709354,0.847026009943236,1.23698395968528,0.115266771979607,"Catch/MSY",NA
"21","Red hind","All","CatchMSY",2015,"LBSPR",108,0.2989365,0.191401,0.4774625,0.0793191455020906,"SPR","None"
"22","Red hind","All","CatchMSY",2015,"LBSPR",108,1.8708001,0.858805,2.80626,0.508419684195811,"FvM",NA
