Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,43,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,25.5,0,0,0,0,0
2015,-999,30.5,0,0,0,0,0
2015,-999,33.5,0,0,0,0,0
2015,-999,29,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,30.5,0,0,0,0,0
2015,-999,37,0,0,0,0,0
2015,-999,40,0,0,0,0,0
2015,-999,35.5,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,36,0,0,0,0,0
2015,-999,38,0,0,0,0,0
2015,-999,29.5,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,29,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,27.5,0,0,0,0,0
2015,-999,35.5,0,0,0,0,0
2015,-999,30.5,0,0,0,0,0
2015,-999,27.5,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,27,0,0,0,0,0
2015,-999,28.5,0,0,0,0,0
2015,-999,31.5,0,0,0,0,0
2015,-999,35.5,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,27.5,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,31.5,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,33.5,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,30.5,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,27.5,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,29,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,40,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,36.5,0,0,0,0,0
2015,-999,27,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,38,0,0,0,0,0
2015,-999,40,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,32.5,0,0,0,0,0
2015,-999,36.5,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,26.5,0,0,0,0,0
2015,-999,32.5,0,0,0,0,0
2015,-999,32.5,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,37,0,0,0,0,0
2015,-999,29,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,26.5,0,0,0,0,0
2015,-999,29,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,37,0,0,0,0,0
2015,-999,32.5,0,0,0,0,0
2015,-999,31.5,0,0,0,0,0
2015,-999,33.5,0,0,0,0,0
2015,-999,29,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,38.5,0,0,0,0,0
2015,-999,35.5,0,0,0,0,0
2015,-999,33.5,0,0,0,0,0
2015,-999,35.5,0,0,0,0,0
2015,-999,35.3,0,0,0,0,0
2015,-999,37,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,29,0,0,0,0,0
2015,-999,34.5,0,0,0,0,0
2015,-999,30.5,0,0,0,0,0
2015,-999,28.5,0,0,0,0,0
2015,-999,39,0,0,0,0,0
2015,-999,28.5,0,0,0,0,0
2015,-999,32.5,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,29.5,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,35,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,28,0,0,0,0,0
2015,-999,29.5,0,0,0,0,0
2015,-999,27.5,0,0,0,0,0
2015,-999,32,0,0,0,0,0
