"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Squirrelfish","All","LBAR",1994,"CatchMSY",2153.236,1.91915536201998,1.63633288857672,2.34977157307704,0.121896632206493,"Catch/MSY",NA
"2","Squirrelfish","All","LBAR",1995,"CatchMSY",2498.658,2.22702615902489,1.89883332003799,2.72672179883743,0.121896632206493,"Catch/MSY",NA
"3","Squirrelfish","All","LBAR",1996,"CatchMSY",797.431,0.710741404793045,0.606000722480313,0.870216128325178,0.121896632206493,"Catch/MSY",NA
"4","Squirrelfish","All","LBAR",1997,"CatchMSY",1928.716,1.71904317650909,1.46571087587432,2.10475861881319,0.121896632206493,"Catch/MSY",NA
"5","Squirrelfish","All","LBAR",1998,"CatchMSY",1285.051,1.145351701866,0.976563281868962,1.40234340766837,0.121896632206493,"Catch/MSY",NA
"6","Squirrelfish","All","LBAR",1999,"CatchMSY",1452.866,1.29492334987736,1.10409282516868,1.58547564051973,0.121896632206493,"Catch/MSY",NA
"7","Squirrelfish","All","LBAR",2000,"CatchMSY",1309.54,1.16717847592166,0.995173483494959,1.42906762928323,0.121896632206493,"Catch/MSY",NA
"8","Squirrelfish","All","LBAR",2001,"CatchMSY",2050.719,1.82778309709027,1.55842598996541,2.23789738355153,0.121896632206493,"Catch/MSY",NA
"9","Squirrelfish","All","LBAR",2002,"CatchMSY",1496.429,1.33375056855458,1.13719814647348,1.63301483224695,0.121896632206493,"Catch/MSY",NA
"10","Squirrelfish","All","LBAR",2003,"CatchMSY",1278.24,1.13928113311705,0.971387321916548,1.39491073694197,0.121896632206493,"Catch/MSY",NA
"11","Squirrelfish","All","LBAR",2004,"CatchMSY",1303.413,1.16171754878543,0.990517323367454,1.42238139032556,0.121896632206493,"Catch/MSY",NA
"12","Squirrelfish","All","LBAR",2005,"CatchMSY",1636.591,1.45867540440697,1.24371303398636,1.78597005091579,0.121896632206493,"Catch/MSY",NA
"13","Squirrelfish","All","LBAR",2006,"CatchMSY",1337.212,1.19184222256987,1.01620257816581,1.45926537768154,0.121896632206493,"Catch/MSY",NA
"14","Squirrelfish","All","LBAR",2007,"CatchMSY",450.882,0.401866125189386,0.342643837213964,0.492036036185592,0.121896632206493,"Catch/MSY",NA
"15","Squirrelfish","All","LBAR",2008,"CatchMSY",633.232,0.564392657471191,0.481219126792981,0.691029944122575,0.121896632206493,"Catch/MSY",NA
"16","Squirrelfish","All","LBAR",2009,"CatchMSY",615.086,0.548219328955778,0.467429232607618,0.671227676760774,0.121896632206493,"Catch/MSY",NA
"17","Squirrelfish","All","LBAR",2010,"CatchMSY",893.591,0.796447746137812,0.679076674473284,0.975153085754409,0.121896632206493,"Catch/MSY",NA
"18","Squirrelfish","All","LBAR",2011,"CatchMSY",886.34,0.789985010269562,0.673566340364496,0.967240254241105,0.121896632206493,"Catch/MSY",NA
"19","Squirrelfish","All","LBAR",2012,"CatchMSY",647.288,0.576920614354948,0.491900861206595,0.706368898715184,0.121896632206493,"Catch/MSY",NA
"20","Squirrelfish","All","LBAR",2013,"CatchMSY",229.517552,0.204566448173122,0.174419858688605,0.250466655402302,0.121896632206493,"Catch/MSY",NA
"21","Squirrelfish","All","LBAR",2014,"CatchMSY",649.997336,0.579335415478426,0.493959797432353,0.709325528046439,0.121896632206493,"Catch/MSY",NA
"22","Squirrelfish","All","LBAR",1994,"CatchMSY",2153.236,1.91915536201998,1.63633288857672,2.34977157307704,0.121896632206493,"Catch/MSY",NA
"23","Squirrelfish","All","LBAR",1995,"CatchMSY",2498.658,2.22702615902489,1.89883332003799,2.72672179883743,0.121896632206493,"Catch/MSY",NA
"24","Squirrelfish","All","LBAR",1996,"CatchMSY",797.431,0.710741404793045,0.606000722480313,0.870216128325178,0.121896632206493,"Catch/MSY",NA
"25","Squirrelfish","All","LBAR",1997,"CatchMSY",1928.716,1.71904317650909,1.46571087587432,2.10475861881319,0.121896632206493,"Catch/MSY",NA
"26","Squirrelfish","All","LBAR",1998,"CatchMSY",1285.051,1.145351701866,0.976563281868962,1.40234340766837,0.121896632206493,"Catch/MSY",NA
"27","Squirrelfish","All","LBAR",1999,"CatchMSY",1452.866,1.29492334987736,1.10409282516868,1.58547564051973,0.121896632206493,"Catch/MSY",NA
"28","Squirrelfish","All","LBAR",2000,"CatchMSY",1309.54,1.16717847592166,0.995173483494959,1.42906762928323,0.121896632206493,"Catch/MSY",NA
"29","Squirrelfish","All","LBAR",2001,"CatchMSY",2050.719,1.82778309709027,1.55842598996541,2.23789738355153,0.121896632206493,"Catch/MSY",NA
"30","Squirrelfish","All","LBAR",2002,"CatchMSY",1496.429,1.33375056855458,1.13719814647348,1.63301483224695,0.121896632206493,"Catch/MSY",NA
