Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent,
2015,-999,17.5,0,0,0,0,0,
2015,-999,18,0,0,0,0,0,
2015,-999,18,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,19.5,0,0,0,0,0,
2015,-999,20,0,0,0,0,0,
2015,-999,20,0,0,0,0,0,
2015,-999,20,0,0,0,0,0,
2015,-999,20,0,0,0,0,0,
2015,-999,20.5,0,0,0,0,0,
2015,-999,20.5,0,0,0,0,0,
2015,-999,20.5,0,0,0,0,0,
2015,-999,20.5,0,0,0,0,0,
2015,-999,20.5,0,0,0,0,0,
2015,-999,20.5,0,0,0,0,0,
2015,-999,21,0,0,0,0,0,
2015,-999,21,0,0,0,0,0,
2015,-999,21,0,0,0,0,0,
2015,-999,21.5,0,0,0,0,0,
2015,-999,21.5,0,0,0,0,0,
2015,-999,22,0,0,0,0,0,
2015,-999,22,0,0,0,0,0,
2015,-999,22,0,0,0,0,0,
2015,-999,23,0,0,0,0,0,
2015,-999,23,0,0,0,0,0,
2015,-999,23.5,0,0,0,0,0,
2015,-999,23.5,0,0,0,0,0,
2015,-999,23.5,0,0,0,0,0,
2015,-999,23.5,0,0,0,0,0,
2015,-999,23.5,0,0,0,0,0,
2015,-999,24,0,0,0,0,0,
2015,-999,24,0,0,0,0,0,
2015,-999,24,0,0,0,0,0,
2015,-999,24,0,0,0,0,0,
2015,-999,24.5,0,0,0,0,0,
2015,-999,24.5,0,0,0,0,0,
2015,-999,24.5,0,0,0,0,0,
2015,-999,25,0,0,0,0,0,
2015,-999,25,0,0,0,0,0,
2015,-999,25,0,0,0,0,0,
2015,-999,25.5,0,0,0,0,0,
2015,-999,25.5,0,0,0,0,0,
2015,-999,25.5,0,0,0,0,0,
2015,-999,26.5,0,0,0,0,0,
2015,-999,26.5,0,0,0,0,0,
2015,-999,27,0,0,0,0,0,
2015,-999,27,0,0,0,0,0,
2015,-999,27.5,0,0,0,0,0,
2015,-999,28,0,0,0,0,0,
2015,-999,28.5,0,0,0,0,0,
2015,-999,29.5,0,0,0,0,0,
2015,-999,31.5,0,0,0,0,0,0.038461538
