Species name,Common name,n,Linf,k,Length at 50% maturity,Tmax,M,Resilience,Lc,Lbar,upper,F/Fmsy,lower,upper,SPR,lower,Upper,F/Fmsy,lower,SY,Average Catch,F2014.Fmsy,B2014/Fmsy
Lutjanus synagris,Lane snapper,36,45.59,0.27,25.73,13,0.245,Medium,26,28.26,18.14,7.37,4.43,0.35,0.17,0.07,14.85,7.79,4.04,48.16,58.6,0.16682,0.07
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.333333333,,,,,,,,,,,,,,,,,,,
,,,,3.3,,,,,,,,,,,,,,,,,,,
