"","id10","year","catch"
"1","SERRGU",1994,213.647571649
"2","SERRGU",1995,3371.829239606
"3","SERRGU",1996,2723.413539647
"4","SERRGU",1997,2109.918769703
"5","SERRGU",1998,2338.308311743
"6","SERRGU",1999,1791.252408574
"7","SERRGU",2000,1582.601826934
"8","SERRGU",2001,2723.631539224
"9","SERRGU",2002,2120.573748293
"10","SERRGU",2003,2736.558513232
"11","SERRGU",2004,3086.274812099
"12","SERRGU",2005,4112.331754768
"13","SERRGU",2006,3134.822714785
"14","SERRGU",2007,1515.926960585
"15","SERRGU",2008,1934.147122112
"16","SERRGU",2009,1408.884175262
"17","SERRGU",2010,1716.42555863
"18","SERRGU",2011,2343.297301804
"19","SERRGU",2012,1617.53575687
"20","SERRGU",2014,1711.402616
"21","SERRGU",2015,2004.423048
