Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,22,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,16,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,8,0,0,0,0,0
2015,-999,19.74326741,0,0,0,0,0
2015,-999,18.83709734,0,0,0,0,0
2015,-999,19.83918795,0,0,0,0,0
2015,-999,18.68414033,0,0,0,0,0
2015,-999,18.08666328,0,0,0,0,0
2015,-999,18.88508462,0,0,0,0,0
2015,-999,19.69229473,0,0,0,0,0
2015,-999,16,0,0,0,0,0
2015,-999,19,0,0,0,0,0
2015,-999,5,0,0,0,0,0
2015,-999,14,0,0,0,0,0
2015,-999,12,0,0,0,0,0
2015,-999,12,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,14,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,16.27257333,0,0,0,0,0
2015,-999,15.46927204,0,0,0,0,0
2015,-999,16.24429924,0,0,0,0,0
2015,-999,17.02380513,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,12.7893308,0,0,0,0,0
2015,-999,13.06394524,0,0,0,0,0
2015,-999,14.15441023,0,0,0,0,0
2015,-999,13.62133651,0,0,0,0,0
2015,-999,13.94779953,0,0,0,0,0
2015,-999,13.75860883,0,0,0,0,0
2015,-999,13.45755691,0,0,0,0,0
2015,-999,12.02741905,0,0,0,0,0
2015,-999,12.04479827,0,0,0,0,0
2015,-999,12.32636429,0,0,0,0,0
2015,-999,10,0,0,0,0,0
2015,-999,12,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,10,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,8,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,16,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,3.203761497,0,0,0,0,0
2015,-999,3.879853911,0,0,0,0,0
2015,-999,3.254593723,0,0,0,0,0
2015,-999,3.354330618,0,0,0,0,0
2015,-999,3.098013315,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,21.13973833,0,0,0,0,0
2015,-999,21.47645016,0,0,0,0,0
2015,-999,20.82311064,0,0,0,0,0
2015,-999,22.45789856,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,22.72157598,0,0,0,0,0
2015,-999,22.46702123,0,0,0,0,0
2015,-999,22.36584997,0,0,0,0,0
2015,-999,21.21138171,0,0,0,0,0
2015,-999,23.60222133,0,0,0,0,0
2015,-999,26.24495089,0,0,0,0,0
2015,-999,23.83014388,0,0,0,0,0
2015,-999,24.88771932,0,0,0,0,0
2015,-999,26.86937024,0,0,0,0,0
2015,-999,26.13430496,0,0,0,0,0
2015,-999,26.42505833,0,0,0,0,0
2015,-999,24.69330194,0,0,0,0,0
2015,-999,26.19525743,0,0,0,0,0
2015,-999,27.63168255,0,0,0,0,0
2015,-999,24.976734,0,0,0,0,0
2015,-999,24.74837692,0,0,0,0,0
2015,-999,24.73498976,0,0,0,0,0
2015,-999,26.03313063,0,0,0,0,0
2015,-999,25.21880485,0,0,0,0,0
2015,-999,25.38194429,0,0,0,0,0
2015,-999,24.09456757,0,0,0,0,0
2015,-999,24.89783826,0,0,0,0,0
2015,-999,24.18869668,0,0,0,0,0
2015,-999,25.0591148,0,0,0,0,0
2015,-999,26.1384788,0,0,0,0,0
2015,-999,15.89216451,0,0,0,0,0
2015,-999,15.91146129,0,0,0,0,0
2015,-999,16.34840115,0,0,0,0,0
2015,-999,16.52392122,0,0,0,0,0
2015,-999,17.97893093,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,21.5628377,0,0,0,0,0
2015,-999,21.22631285,0,0,0,0,0
2015,-999,22.68192454,0,0,0,0,0
2015,-999,23.66388018,0,0,0,0,0
2015,-999,14.67724737,0,0,0,0,0
2015,-999,13.1362795,0,0,0,0,0
2015,-999,14.62961746,0,0,0,0,0
2015,-999,13.89412792,0,0,0,0,0
2015,-999,14.6069504,0,0,0,0,0
2015,-999,13.50377879,0,0,0,0,0
2015,-999,13.82531206,0,0,0,0,0
2015,-999,14.88133906,0,0,0,0,0
2015,-999,14.2340224,0,0,0,0,0
2015,-999,13.49882593,0,0,0,0,0
2015,-999,13.19157438,0,0,0,0,0
2015,-999,13.42363464,0,0,0,0,0
2015,-999,13.63000225,0,0,0,0,0
2015,-999,14.10475813,0,0,0,0,0
2015,-999,13.32155706,0,0,0,0,0
2015,-999,14.16342257,0,0,0,0,0
2015,-999,14.45299614,0,0,0,0,0
2015,-999,13.6780788,0,0,0,0,0
2015,-999,14.7903606,0,0,0,0,0
2015,-999,4,0,0,0,0,0
2015,-999,4,0,0,0,0,0
2015,-999,12,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,13,0,0,0,0,0
2015,-999,13,0,0,0,0,0
2015,-999,14,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,15,0,0,0,0,0
2015,-999,16,0,0,0,0,0
2015,-999,17,0,0,0,0,0
2015,-999,3.873025125,0,0,0,0,0
2015,-999,3.785460953,0,0,0,0,0
2015,-999,3.443766258,0,0,0,0,0
2015,-999,3.628417499,0,0,0,0,0
2015,-999,3.808393528,0,0,0,0,0
2015,-999,3.006094247,0,0,0,0,0
2015,-999,3.378490876,0,0,0,0,0
2015,-999,17.73646889,0,0,0,0,0
2015,-999,17.46361134,0,0,0,0,0
2015,-999,16.98632958,0,0,0,0,0
