"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Blue tang","All","LBAR",2015,"LBAR",1554,"1.71304136993448",1.38582151651436,2.06722245000513,0.150542803720953,"FvM","None"
"2","Blue tang","All","LBAR",1994,"CatchMSY",701.7155931,"0.59982964254423",0.496828335250019,0.785454015276251,0.14096102411365,"Catch/MSY",NA
"3","Blue tang","All","LBAR",1995,"CatchMSY",1642.464707,"1.40398621290282",1.16289706842731,1.83846634127572,0.14096102411365,"Catch/MSY",NA
"4","Blue tang","All","LBAR",1996,"CatchMSY",1502.763987,"1.28456940962133",1.06398623213791,1.68209459673998,0.14096102411365,"Catch/MSY",NA
"5","Blue tang","All","LBAR",1997,"CatchMSY",1124.918745,"0.961585598694961",0.796464426422179,1.259159627929,0.14096102411365,"Catch/MSY",NA
"6","Blue tang","All","LBAR",1998,"CatchMSY",763.4134694,"0.65256926448034",0.540511635823649,0.854514536590541,0.14096102411365,"Catch/MSY",NA
"7","Blue tang","All","LBAR",1999,"CatchMSY",965.2510647,"0.825100948016026",0.683416592546587,1.08043818888067,0.14096102411365,"Catch/MSY",NA
"8","Blue tang","All","LBAR",2000,"CatchMSY",684.9406267,"0.585490325877556",0.484951331642947,0.766677227579691,0.14096102411365,"Catch/MSY",NA
"9","Blue tang","All","LBAR",2001,"CatchMSY",1251.93949,"1.07016350236169",0.886397592937368,1.40133824725093,0.14096102411365,"Catch/MSY",NA
"10","Blue tang","All","LBAR",2002,"CatchMSY",1058.706877,"0.904987396367475",0.749585131625681,1.1850464429137,0.14096102411365,"Catch/MSY",NA
"11","Blue tang","All","LBAR",2003,"CatchMSY",783.3624294,"0.669621725140457",0.554635888846137,0.876844082758047,0.14096102411365,"Catch/MSY",NA
"12","Blue tang","All","LBAR",2004,"CatchMSY",1059.160876,"0.905375476752981",0.749906571778349,1.18555461936152,0.14096102411365,"Catch/MSY",NA
"13","Blue tang","All","LBAR",2005,"CatchMSY",2885.802214,"2.46679670153815",2.04320428951636,3.23017609779177,0.14096102411365,"Catch/MSY",NA
"14","Blue tang","All","LBAR",2006,"CatchMSY",2448.072092,"2.09262302606065",1.73328281999152,2.74020995579203,0.14096102411365,"Catch/MSY",NA
"15","Blue tang","All","LBAR",2007,"CatchMSY",1436.096121,"1.22758141815416",1.01678408185774,1.60747099772849,0.14096102411365,"Catch/MSY",NA
"16","Blue tang","All","LBAR",2008,"CatchMSY",943.9421074,"0.806885955551939",0.668329434892725,1.0565863517016,0.14096102411365,"Catch/MSY",NA
"17","Blue tang","All","LBAR",2009,"CatchMSY",692.6546112,"0.592084274495379",0.490412983222255,0.775311751536237,0.14096102411365,"Catch/MSY",NA
"18","Blue tang","All","LBAR",2010,"CatchMSY",630.0547368,"0.538573620529743",0.446091050389589,0.705241593217464,0.14096102411365,"Catch/MSY",NA
"19","Blue tang","All","LBAR",2011,"CatchMSY",1226.080542,"1.04805915739924",0.868088953066049,1.37239345147165,0.14096102411365,"Catch/MSY",NA
"20","Blue tang","All","LBAR",2012,"CatchMSY",1090.003815,"0.931740159620655",0.771743974549879,1.22007816496701,0.14096102411365,"Catch/MSY",NA
"21","Blue tang","All","LBAR",2013,"CatchMSY",517.09488,"0.442015027287059",0.366113267145393,0.578801801995742,0.14096102411365,"Catch/MSY",NA
"22","Blue tang","All","LBAR",2014,"CatchMSY",1008.788608,"0.862317035689841",0.71424202292224,1.12917123477064,0.14096102411365,"Catch/MSY",NA
"23","Blue tang","All","LBAR",2015,"CatchMSY",1220.616072,"1.04338810388551",0.864220001656362,1.36627688523732,0.14096102411365,"Catch/MSY",NA
"24","Blue tang","All","LBAR",1994,"CatchMSY",701.7155931,"0.59982964254423",0.496828335250019,0.785454015276251,0.14096102411365,"Catch/MSY",NA
"25","Blue tang","All","LBAR",1995,"CatchMSY",1642.464707,"1.40398621290282",1.16289706842731,1.83846634127572,0.14096102411365,"Catch/MSY",NA
"26","Blue tang","All","LBAR",1996,"CatchMSY",1502.763987,"1.28456940962133",1.06398623213791,1.68209459673998,0.14096102411365,"Catch/MSY",NA
"27","Blue tang","All","LBAR",1997,"CatchMSY",1124.918745,"0.961585598694961",0.796464426422179,1.259159627929,0.14096102411365,"Catch/MSY",NA
"28","Blue tang","All","LBAR",1998,"CatchMSY",763.4134694,"0.65256926448034",0.540511635823649,0.854514536590541,0.14096102411365,"Catch/MSY",NA
"29","Blue tang","All","LBAR",1999,"CatchMSY",965.2510647,"0.825100948016026",0.683416592546587,1.08043818888067,0.14096102411365,"Catch/MSY",NA
"30","Blue tang","All","LBAR",2000,"CatchMSY",684.9406267,"0.585490325877556",0.484951331642947,0.766677227579691,0.14096102411365,"Catch/MSY",NA
"31","Blue tang","All","LBAR",2001,"CatchMSY",1251.93949,"1.07016350236169",0.886397592937368,1.40133824725093,0.14096102411365,"Catch/MSY",NA
"32","Blue tang","All","LBAR",2002,"CatchMSY",1058.706877,"0.904987396367475",0.749585131625681,1.1850464429137,0.14096102411365,"Catch/MSY",NA
"33","Blue tang","All","LBAR",2003,"CatchMSY",783.3624294,"0.669621725140457",0.554635888846137,0.876844082758047,0.14096102411365,"Catch/MSY",NA
"34","Blue tang","All","LBAR",2004,"CatchMSY",1059.160876,"0.905375476752981",0.749906571778349,1.18555461936152,0.14096102411365,"Catch/MSY",NA
"35","Blue tang","All","LBAR",2005,"CatchMSY",2885.802214,"2.46679670153815",2.04320428951636,3.23017609779177,0.14096102411365,"Catch/MSY",NA
"36","Blue tang","All","LBAR",2006,"CatchMSY",2448.072092,"2.09262302606065",1.73328281999152,2.74020995579203,0.14096102411365,"Catch/MSY",NA
"37","Blue tang","All","LBAR",2007,"CatchMSY",1436.096121,"1.22758141815416",1.01678408185774,1.60747099772849,0.14096102411365,"Catch/MSY",NA
"38","Blue tang","All","LBAR",2008,"CatchMSY",943.9421074,"0.806885955551939",0.668329434892725,1.0565863517016,0.14096102411365,"Catch/MSY",NA
"39","Blue tang","All","LBAR",2009,"CatchMSY",692.6546112,"0.592084274495379",0.490412983222255,0.775311751536237,0.14096102411365,"Catch/MSY",NA
"40","Blue tang","All","LBAR",2010,"CatchMSY",630.0547368,"0.538573620529743",0.446091050389589,0.705241593217464,0.14096102411365,"Catch/MSY",NA
"41","Blue tang","All","LBAR",2011,"CatchMSY",1226.080542,"1.04805915739924",0.868088953066049,1.37239345147165,0.14096102411365,"Catch/MSY",NA
"42","Blue tang","All","LBAR",2012,"CatchMSY",1090.003815,"0.931740159620655",0.771743974549879,1.22007816496701,0.14096102411365,"Catch/MSY",NA
"43","Blue tang","All","LBAR",2013,"CatchMSY",517.09488,"0.442015027287059",0.366113267145393,0.578801801995742,0.14096102411365,"Catch/MSY",NA
"44","Blue tang","All","LBAR",2014,"CatchMSY",1008.788608,"0.862317035689841",0.71424202292224,1.12917123477064,0.14096102411365,"Catch/MSY",NA
"45","Blue tang","All","LBAR",2015,"CatchMSY",1220.616072,"1.04338810388551",0.864220001656362,1.36627688523732,0.14096102411365,"Catch/MSY",NA
