"","Species.ID","Length","Gear.Type","Data.Type"
"1","ACANCO",22,"SA","Survey"
"2","ACANCO",20,"SA","Survey"
"3","ACANCO",16,"SA","Survey"
"4","ACANCO",18,"SA","Survey"
"5","ACANCO",8,"SA","Survey"
"6","ACANCO",19.7432674085721,"SA","Survey"
"7","ACANCO",18.8370973421261,"SA","Survey"
"8","ACANCO",19.8391879531555,"SA","Survey"
"9","ACANCO",18.6841403250583,"SA","Survey"
"10","ACANCO",18.0866632792167,"SA","Survey"
"11","ACANCO",18.8850846244022,"SA","Survey"
"12","ACANCO",19.6922947275452,"SA","Survey"
"13","ACANCO",16,"SA","Survey"
"14","ACANCO",19,"SA","Survey"
"15","ACANCO",5,"SA","Survey"
"16","ACANCO",14,"SA","Survey"
"17","ACANCO",12,"SA","Survey"
"18","ACANCO",12,"SA","Survey"
"19","ACANCO",20,"SA","Survey"
"20","ACANCO",25,"SA","Survey"
"21","ACANCO",14,"SA","Survey"
"22","ACANCO",15,"SA","Survey"
"23","ACANCO",25,"SA","Survey"
"24","ACANCO",16.2725733322238,"SA","Survey"
"25","ACANCO",15.4692720396916,"SA","Survey"
"26","ACANCO",16.2442992417206,"SA","Survey"
"27","ACANCO",17.0238051276371,"SA","Survey"
"28","ACANCO",15,"SA","Survey"
"29","ACANCO",15,"SA","Survey"
"30","ACANCO",15,"SA","Survey"
"31","ACANCO",15,"SA","Survey"
"32","ACANCO",15,"SA","Survey"
"33","ACANCO",15,"SA","Survey"
"34","ACANCO",12.7893308010227,"SA","Survey"
"35","ACANCO",13.0639452384225,"SA","Survey"
"36","ACANCO",14.1544102341133,"SA","Survey"
"37","ACANCO",13.6213365084342,"SA","Survey"
"38","ACANCO",13.947799530178,"SA","Survey"
"39","ACANCO",13.7586088284099,"SA","Survey"
"40","ACANCO",13.4575569053437,"SA","Survey"
"41","ACANCO",12.0274190451244,"SA","Survey"
"42","ACANCO",12.0447982744945,"SA","Survey"
"43","ACANCO",12.326364286679,"SA","Survey"
"44","ACANCO",10,"SA","Survey"
"45","ACANCO",12,"SA","Survey"
"46","ACANCO",18,"SA","Survey"
"47","ACANCO",18,"SA","Survey"
"48","ACANCO",10,"SA","Survey"
"49","ACANCO",20,"SA","Survey"
"50","ACANCO",25,"SA","Survey"
"51","ACANCO",8,"SA","Survey"
"52","ACANCO",25,"SA","Survey"
"53","ACANCO",20,"SA","Survey"
"54","ACANCO",30,"SA","Survey"
"55","ACANCO",30,"SA","Survey"
"56","ACANCO",30,"SA","Survey"
"57","ACANCO",30,"SA","Survey"
"58","ACANCO",30,"SA","Survey"
"59","ACANCO",15,"SA","Survey"
"60","ACANCO",15,"SA","Survey"
"61","ACANCO",15,"SA","Survey"
"62","ACANCO",20,"SA","Survey"
"63","ACANCO",22,"SA","Survey"
"64","ACANCO",30,"SA","Survey"
"65","ACANCO",15,"SA","Survey"
"66","ACANCO",16,"SA","Survey"
"67","ACANCO",18,"SA","Survey"
"68","ACANCO",3.2037614970468,"SA","Survey"
"69","ACANCO",3.8798539112322,"SA","Survey"
"70","ACANCO",2.99781509535387,"SA","Survey"
"71","ACANCO",2.29099317779765,"SA","Survey"
"72","ACANCO",3.25459372298792,"SA","Survey"
"73","ACANCO",2.2959440369159,"SA","Survey"
"74","ACANCO",3.35433061793447,"SA","Survey"
"75","ACANCO",3.09801331488416,"SA","Survey"
"76","ACANCO",2,"SA","Survey"
"77","ACANCO",2,"SA","Survey"
"78","ACANCO",2,"SA","Survey"
"79","ACANCO",2,"SA","Survey"
"80","ACANCO",20,"SA","Survey"
"81","ACANCO",23,"SA","Survey"
"82","ACANCO",23,"SA","Survey"
"83","ACANCO",20,"SA","Survey"
"84","ACANCO",25,"SA","Survey"
"85","ACANCO",24,"SA","Survey"
"86","ACANCO",30,"SA","Survey"
"87","ACANCO",23,"SA","Survey"
"88","ACANCO",20,"SA","Survey"
"89","ACANCO",20,"SA","Survey"
"90","ACANCO",25,"SA","Survey"
"91","ACANCO",21.139738331913,"SA","Survey"
"92","ACANCO",21.4764501611209,"SA","Survey"
"93","ACANCO",20.8231106424508,"SA","Survey"
"94","ACANCO",22.4578985602202,"SA","Survey"
"95","ACANCO",25,"SA","Survey"
"96","ACANCO",22.7215759845461,"SA","Survey"
"97","ACANCO",22.4670212286619,"SA","Survey"
"98","ACANCO",22.3658499741257,"SA","Survey"
"99","ACANCO",21.2113817055074,"SA","Survey"
"100","ACANCO",23.6022213311272,"SA","Survey"
"101","ACANCO",26.2449508905797,"SA","Survey"
"102","ACANCO",23.8301438825736,"SA","Survey"
"103","ACANCO",24.8877193193401,"SA","Survey"
"104","ACANCO",26.869370243101,"SA","Survey"
"105","ACANCO",26.1343049606365,"SA","Survey"
"106","ACANCO",26.4250583274594,"SA","Survey"
"107","ACANCO",24.6933019406614,"SA","Survey"
"108","ACANCO",26.1952574322928,"SA","Survey"
"109","ACANCO",27.6316825540019,"SA","Survey"
"110","ACANCO",24.9767339977937,"SA","Survey"
"111","ACANCO",24.7483769173832,"SA","Survey"
"112","ACANCO",24.7349897553247,"SA","Survey"
"113","ACANCO",26.0331306253402,"SA","Survey"
"114","ACANCO",25.2188048511761,"SA","Survey"
"115","ACANCO",25.3819442880217,"SA","Survey"
"116","ACANCO",24.094567569303,"SA","Survey"
