"","id10","year","catch"
"1","ACANCH",1994,1316.341360789
"2","ACANCH",1995,348.815300632
"3","ACANCH",1996,233.145532556
"4","ACANCH",1997,454.283089166
"5","ACANCH",1998,785.646424799
"6","ACANCH",1999,1063.221868309
"7","ACANCH",2000,1033.299928304
"8","ACANCH",2001,1619.7997524
"9","ACANCH",2002,1436.089120704
"10","ACANCH",2003,1516.833958777
"11","ACANCH",2004,1523.178946085
"12","ACANCH",2005,2450.801086128
"13","ACANCH",2006,2106.060777333
"14","ACANCH",2007,1286.40842077
"15","ACANCH",2008,1242.408508973
"16","ACANCH",2009,589.682817712
"17","ACANCH",2010,518.920959602
"18","ACANCH",2011,1063.244868226
"19","ACANCH",2012,836.895322052
"20","ACANCH",2013,393.264264
"21","ACANCH",2014,788.342896
"22","ACANCH",2015,1134.887184
