"","Species.ID","Length","Gear.Type","Data.Type"
"1","BALIVE","22","SA","Survey"
"2","BALIVE","40","SA","Survey"
"3","BALIVE","35","SA","Survey"
"4","BALIVE","35","SA","Survey"
"5","BALIVE","25","SA","Survey"
"6","BALIVE","19","SA","Survey"
"7","BALIVE","21","SA","Survey"
"8","BALIVE","36","SA","Survey"
"9","BALIVE","35","SA","Survey"
"10","BALIVE","30","SA","Survey"
"11","BALIVE","17","SA","Survey"
"12","BALIVE","36","SA","Survey"
"13","BALIVE","22","SA","Survey"
"14","BALIVE","30","SA","Survey"
"15","BALIVE","31","SA","Survey"
"16","BALIVE","35","SA","Survey"
"17","BALIVE","36","SA","Survey"
"18","BALIVE","28","SA","Survey"
"19","BALIVE","33.5","pots","Fishery"
"20","BALIVE","35.5","pots","Fishery"
"21","BALIVE","31","pots","Fishery"
"22","BALIVE","28","pots","Fishery"
"23","BALIVE","28.5","pots","Fishery"
"24","BALIVE","30","pots","Fishery"
"25","BALIVE","35.5","pots","Fishery"
"26","BALIVE","26","pots","Fishery"
"27","BALIVE","36.5","pots","Fishery"
"28","BALIVE","29.5","pots","Fishery"
"29","BALIVE","28","pots","Fishery"
"30","BALIVE","25.5","pots","Fishery"
"31","BALIVE","31.5","pots","Fishery"
"32","BALIVE","32","pots","Fishery"
"33","BALIVE","21","pots","Fishery"
"34","BALIVE","27.5","pots","Fishery"
"35","BALIVE","27","pots","Fishery"
"36","BALIVE","21.5","pots","Fishery"
"37","BALIVE","31","pots","Fishery"
"38","BALIVE","34","pots","Fishery"
"39","BALIVE","27.5","pots","Fishery"
"40","BALIVE","28.5","lines","Fishery"
"41","BALIVE","27.5","pots","Fishery"
"42","BALIVE","25","pots","Fishery"
"43","BALIVE","30","pots","Fishery"
"44","BALIVE","36","pots","Fishery"
"45","BALIVE","32.5","pots","Fishery"
"46","BALIVE","29","pots","Fishery"
"47","BALIVE","36","pots","Fishery"
"48","BALIVE","27","pots","Fishery"
"49","BALIVE","32","pots","Fishery"
"50","BALIVE","34","pots","Fishery"
"51","BALIVE","28","pots","Fishery"
"52","BALIVE","28.5","pots","Fishery"
"53","BALIVE","29.5","pots","Fishery"
"54","BALIVE","32","pots","Fishery"
"55","BALIVE","28.5","pots","Fishery"
"56","BALIVE","29","pots","Fishery"
"57","BALIVE","30","pots","Fishery"
"58","BALIVE","28.5","pots","Fishery"
"59","BALIVE","25.5","pots","Fishery"
"60","BALIVE","35","pots","Fishery"
"61","BALIVE","34","pots","Fishery"
"62","BALIVE","32","pots","Fishery"
"63","BALIVE","37","pots","Fishery"
"64","BALIVE","36","pots","Fishery"
"65","BALIVE","34.5","pots","Fishery"
"66","BALIVE","25","pots","Fishery"
"67","BALIVE","31","pots","Fishery"
"68","BALIVE","28","pots","Fishery"
"69","BALIVE","37.5","pots","Fishery"
"70","BALIVE","36.5","pots","Fishery"
"71","BALIVE","34.5","pots","Fishery"
"72","BALIVE","31.5","pots","Fishery"
"73","BALIVE","39","pots","Fishery"
"74","BALIVE","27","pots","Fishery"
"75","BALIVE","38.5","pots","Fishery"
"76","BALIVE","37","pots","Fishery"
"77","BALIVE","31.5","pots","Fishery"
"78","BALIVE","32.5","pots","Fishery"
"79","BALIVE","33.5","pots","Fishery"
"80","BALIVE","36","pots","Fishery"
