"","id10","year","catch"
"1","HOLOAD",1994,2153.231682795
"2","HOLOAD",1995,2543.558900278
"3","HOLOAD",1996,801.62539277
"4","HOLOAD",1997,1928.712132976
"5","HOLOAD",1998,1285.048423545
"6","HOLOAD",1999,1452.863087073
"7","HOLOAD",2000,1309.537374443
"8","HOLOAD",2001,2050.714888401
"9","HOLOAD",2002,1507.76597696
"10","HOLOAD",2003,1278.237437151
"11","HOLOAD",2004,1303.410386714
"12","HOLOAD",2005,1636.587718657
"13","HOLOAD",2006,1337.209318947
"14","HOLOAD",2007,450.881095997
"15","HOLOAD",2008,633.230730405
"16","HOLOAD",2009,615.084766748
"17","HOLOAD",2010,893.589208402
"18","HOLOAD",2011,886.338222927
"19","HOLOAD",2012,647.286702224
"20","HOLOAD",2014,533.877784
"21","HOLOAD",2015,777.91028
