"","Species.ID","Length","Gear.Type","Data.Type"
"1","HOLOAD",30,"SA","Survey"
"2","HOLOAD",14,"SA","Survey"
"3","HOLOAD",18,"SA","Survey"
"4","HOLOAD",23,"SA","Survey"
"5","HOLOAD",20,"SA","Survey"
"6","HOLOAD",19,"SA","Survey"
"7","HOLOAD",19,"SA","Survey"
"8","HOLOAD",18,"SA","Survey"
"9","HOLOAD",18,"SA","Survey"
"10","HOLOAD",15,"SA","Survey"
"11","HOLOAD",25,"SA","Survey"
"12","HOLOAD",25,"SA","Survey"
"13","HOLOAD",25,"SA","Survey"
"14","HOLOAD",25,"SA","Survey"
"15","HOLOAD",20,"SA","Survey"
"16","HOLOAD",22,"SA","Survey"
"17","HOLOAD",25,"SA","Survey"
"18","HOLOAD",25,"SA","Survey"
"19","HOLOAD",25,"SA","Survey"
"20","HOLOAD",22,"SA","Survey"
"21","HOLOAD",21,"SA","Survey"
"22","HOLOAD",16,"SA","Survey"
"23","HOLOAD",28,"SA","Survey"
"24","HOLOAD",30,"SA","Survey"
"25","HOLOAD",30,"SA","Survey"
"26","HOLOAD",25,"SA","Survey"
"27","HOLOAD",20,"SA","Survey"
"28","HOLOAD",20,"SA","Survey"
"29","HOLOAD",19,"SA","Survey"
"30","HOLOAD",25,"SA","Survey"
"31","HOLOAD",25,"SA","Survey"
"32","HOLOAD",29,"SA","Survey"
"33","HOLOAD",27,"SA","Survey"
"34","HOLOAD",28,"SA","Survey"
"35","HOLOAD",23,"SA","Survey"
"36","HOLOAD",23,"SA","Survey"
"37","HOLOAD",23,"SA","Survey"
"38","HOLOAD",25,"SA","Survey"
"39","HOLOAD",30,"SA","Survey"
"40","HOLOAD",34,"SA","Survey"
"41","HOLOAD",28,"SA","Survey"
"42","HOLOAD",30,"SA","Survey"
"43","HOLOAD",20,"SA","Survey"
"44","HOLOAD",25,"SA","Survey"
"45","HOLOAD",14,"SA","Survey"
"46","HOLOAD",20,"SA","Survey"
"47","HOLOAD",29.5,"pots","Fishery"
"48","HOLOAD",28.5,"pots","Fishery"
"49","HOLOAD",27.5,"pots","Fishery"
"50","HOLOAD",25.5,"pots","Fishery"
"51","HOLOAD",27,"pots","Fishery"
"52","HOLOAD",26.5,"pots","Fishery"
"53","HOLOAD",25.5,"pots","Fishery"
"54","HOLOAD",24,"pots","Fishery"
"55","HOLOAD",23.5,"pots","Fishery"
"56","HOLOAD",24,"pots","Fishery"
"57","HOLOAD",31.5,"pots","Fishery"
"58","HOLOAD",27,"pots","Fishery"
"59","HOLOAD",25,"pots","Fishery"
"60","HOLOAD",24,"pots","Fishery"
"61","HOLOAD",24.5,"pots","Fishery"
"62","HOLOAD",23.5,"pots","Fishery"
"63","HOLOAD",24.5,"pots","Fishery"
"64","HOLOAD",24.5,"pots","Fishery"
"65","HOLOAD",25,"pots","Fishery"
"66","HOLOAD",23,"pots","Fishery"
"67","HOLOAD",23.5,"pots","Fishery"
"68","HOLOAD",25,"pots","Fishery"
"69","HOLOAD",26.5,"pots","Fishery"
"70","HOLOAD",24,"pots","Fishery"
"71","HOLOAD",25.5,"pots","Fishery"
"72","HOLOAD",22,"pots","Fishery"
"73","HOLOAD",28,"pots","Fishery"
"74","HOLOAD",21,"pots","Fishery"
"75","HOLOAD",20,"pots","Fishery"
"76","HOLOAD",21.5,"pots","Fishery"
"77","HOLOAD",20.5,"pots","Fishery"
"78","HOLOAD",20.5,"pots","Fishery"
"79","HOLOAD",20.5,"pots","Fishery"
"80","HOLOAD",22,"pots","Fishery"
"81","HOLOAD",18,"pots","Fishery"
"82","HOLOAD",18,"pots","Fishery"
"83","HOLOAD",19.5,"pots","Fishery"
"84","HOLOAD",17.5,"pots","Fishery"
"85","HOLOAD",21,"pots","Fishery"
"86","HOLOAD",21.5,"lines","Fishery"
"87","HOLOAD",23,"pots","Fishery"
"88","HOLOAD",23.5,"pots","Fishery"
"89","HOLOAD",23.5,"pots","Fishery"
"90","HOLOAD",19,"pots","Fishery"
"91","HOLOAD",20,"pots","Fishery"
"92","HOLOAD",19,"pots","Fishery"
"93","HOLOAD",20,"pots","Fishery"
"94","HOLOAD",21,"pots","Fishery"
"95","HOLOAD",22,"pots","Fishery"
"96","HOLOAD",20.5,"pots","Fishery"
"97","HOLOAD",20,"pots","Fishery"
"98","HOLOAD",20.5,"pots","Fishery"
"99","HOLOAD",20.5,"pots","Fishery"
"100","HOLOAD",23,"pots","Fishery"
"101","HOLOAD",20,"pots","Fishery"
"102","HOLOAD",19.5,"pots","Fishery"
"103","HOLOAD",22,"pots","Fishery"
"104","HOLOAD",22,"pots","Fishery"
"105","HOLOAD",22.5,"pots","Fishery"
"106","HOLOAD",22,"pots","Fishery"
"107","HOLOAD",21,"pots","Fishery"
"108","HOLOAD",21.5,"pots","Fishery"
"109","HOLOAD",20.5,"pots","Fishery"
"110","HOLOAD",20.5,"pots","Fishery"
"111","HOLOAD",23.5,"pots","Fishery"
"112","HOLOAD",19.5,"pots","Fishery"
"113","HOLOAD",23.5,"pots","Fishery"
"114","HOLOAD",23,"pots","Fishery"
"115","HOLOAD",20.5,"pots","Fishery"
"116","HOLOAD",21,"pots","Fishery"
"117","HOLOAD",18.5,"pots","Fishery"
"118","HOLOAD",19,"pots","Fishery"
"119","HOLOAD",19.5,"pots","Fishery"
"120","HOLOAD",20.5,"pots","Fishery"
"121","HOLOAD",21,"pots","Fishery"
"122","HOLOAD",19.5,"pots","Fishery"
"123","HOLOAD",20.5,"pots","Fishery"
"124","HOLOAD",21.5,"pots","Fishery"
"125","HOLOAD",20,"pots","Fishery"
