"","Species.ID","Length","Gear.Type","Data.Type"
"1","LUTJSY",15,"SA","Survey"
"2","LUTJSY",15,"SA","Survey"
"3","LUTJSY",24,"SA","Survey"
"4","LUTJSY",24,"SA","Survey"
"5","LUTJSY",20,"SA","Survey"
"6","LUTJSY",24,"pots","Fishery"
"7","LUTJSY",26,"pots","Fishery"
"8","LUTJSY",23.5,"pots","Fishery"
"9","LUTJSY",28.5,"pots","Fishery"
"10","LUTJSY",26,"pots","Fishery"
"11","LUTJSY",30.5,"pots","Fishery"
"12","LUTJSY",30,"pots","Fishery"
"13","LUTJSY",25,"pots","Fishery"
"14","LUTJSY",31,"pots","Fishery"
"15","LUTJSY",30.5,"pots","Fishery"
"16","LUTJSY",26,"pots","Fishery"
"17","LUTJSY",30,"pots","Fishery"
"18","LUTJSY",34,"pots","Fishery"
"19","LUTJSY",29.5,"pots","Fishery"
"20","LUTJSY",26.5,"pots","Fishery"
"21","LUTJSY",24.5,"pots","Fishery"
"22","LUTJSY",26.5,"pots","Fishery"
"23","LUTJSY",26,"pots","Fishery"
"24","LUTJSY",26.5,"pots","Fishery"
"25","LUTJSY",24.5,"pots","Fishery"
"26","LUTJSY",24.5,"pots","Fishery"
"27","LUTJSY",26,"pots","Fishery"
"28","LUTJSY",25,"pots","Fishery"
"29","LUTJSY",23.5,"pots","Fishery"
"30","LUTJSY",23.5,"pots","Fishery"
"31","LUTJSY",23,"pots","Fishery"
"32","LUTJSY",24,"pots","Fishery"
"33","LUTJSY",23,"pots","Fishery"
"34","LUTJSY",24,"pots","Fishery"
"35","LUTJSY",23.5,"pots","Fishery"
"36","LUTJSY",24,"pots","Fishery"
"37","LUTJSY",27,"pots","Fishery"
"38","LUTJSY",22,"pots","Fishery"
"39","LUTJSY",24.5,"pots","Fishery"
"40","LUTJSY",23,"pots","Fishery"
"41","LUTJSY",23,"pots","Fishery"
"42","LUTJSY",25,"pots","Fishery"
"43","LUTJSY",22.5,"pots","Fishery"
"44","LUTJSY",24.5,"pots","Fishery"
"45","LUTJSY",27,"pots","Fishery"
"46","LUTJSY",21,"pots","Fishery"
"47","LUTJSY",19,"pots","Fishery"
"48","LUTJSY",23.5,"pots","Fishery"
"49","LUTJSY",26,"pots","Fishery"
"50","LUTJSY",24.5,"pots","Fishery"
"51","LUTJSY",18.5,"pots","Fishery"
"52","LUTJSY",22.5,"pots","Fishery"
"53","LUTJSY",28.5,"pots","Fishery"
"54","LUTJSY",24.5,"pots","Fishery"
"55","LUTJSY",28,"pots","Fishery"
"56","LUTJSY",27.1,"pots","Fishery"
"57","LUTJSY",25.1,"pots","Fishery"
"58","LUTJSY",26.6,"pots","Fishery"
"59","LUTJSY",26.1,"pots","Fishery"
"60","LUTJSY",25.6,"pots","Fishery"
"61","LUTJSY",21.6,"pots","Fishery"
"62","LUTJSY",22.3,"pots","Fishery"
