"","trans_ID","Length","DATATYPE","COMMON_NAME","DIVER","NUMBER","MIN","MAX","AVG","Species.ID"
"1",1,17,"QUAN","doctorfish",NA,1,17,17,17,"ACANCH"
"2",2,22,"QUAN","doctorfish",NA,1,22,22,22,"ACANCH"
"3",3,24,"QUAN","doctorfish",NA,2,24,24,24,"ACANCH"
"4",3,24,"QUAN","doctorfish",NA,2,24,24,24,"ACANCH"
"5",4,19,"QUAN","doctorfish",NA,1,19,19,19,"ACANCH"
"6",5,23,"QUAN","doctorfish",NA,1,23,23,23,"ACANCH"
"7",6,22,"QUAN","doctorfish",NA,1,22,22,22,"ACANCH"
"8",7,25,"QUAN","doctorfish",NA,1,25,25,25,"ACANCH"
"9",8,27,"QUAN","doctorfish",NA,1,27,27,27,"ACANCH"
"10",9,22,"QUAN","doctorfish",NA,1,22,22,22,"ACANCH"
"11",10,18,"QUAL","doctorfish",NA,2,18,18,18,"ACANCH"
"12",10,18,"QUAL","doctorfish",NA,2,18,18,18,"ACANCH"
"13",11,23,"QUAN","doctorfish",NA,1,23,23,23,"ACANCH"
"14",12,25,"QUAN","doctorfish",NA,2,25,25,25,"ACANCH"
"15",12,25,"QUAN","doctorfish",NA,2,25,25,25,"ACANCH"
"16",13,24,"QUAN","doctorfish",NA,1,24,24,24,"ACANCH"
"17",14,25,"QUAN","doctorfish",NA,1,25,25,25,"ACANCH"
"18",15,26,"QUAN","doctorfish",NA,1,26,26,26,"ACANCH"
"19",16,25,"QUAN","doctorfish",NA,1,25,25,25,"ACANCH"
"20",17,25,"QUAN","doctorfish",NA,1,25,25,25,"ACANCH"
"21",18,4.53013606000574,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"22",18,5.0192318556311,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"23",18,5.7032905141375,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"24",18,4.46296058302089,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"25",18,5.27689918936567,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"26",18,5.61169932987209,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"27",18,4.98271093989986,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"28",18,6.05376485662477,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"29",18,6.95356787643312,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"30",18,4.67578409463831,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"31",18,5.16478422769535,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"32",18,5.74458998055748,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"33",18,4.72114151553051,"QUAN","doctorfish",NA,13,4,7,5.5,"ACANCH"
"34",19,18,"QUAN","doctorfish",NA,1,18,18,18,"ACANCH"
"35",20,18,"QUAN","doctorfish",NA,1,18,18,18,"ACANCH"
"36",21,25,"QUAN","doctorfish",NA,1,25,25,25,"ACANCH"
"37",22,25,"QUAN","doctorfish",NA,2,25,25,25,"ACANCH"
"38",22,25,"QUAN","doctorfish",NA,2,25,25,25,"ACANCH"
"39",23,27,"QUAN","doctorfish",NA,1,27,27,27,"ACANCH"
"40",24,21,"QUAN","doctorfish",NA,1,21,21,21,"ACANCH"
"41",25,22,"QUAN","doctorfish",NA,2,22,22,22,"ACANCH"
"42",25,22,"QUAN","doctorfish",NA,2,22,22,22,"ACANCH"
"43",26,21.6985831151907,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"44",26,22.2125873569605,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"45",26,21.1111033241721,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"46",26,21.9614967667184,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"47",26,22.1609551352785,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"48",26,24.0468387732622,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"49",26,22.6236750890224,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"50",26,24.9479972428894,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"51",26,21.9452890895963,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"52",26,20.624953939109,"QUAN","doctorfish",NA,10,20,25,22.5,"ACANCH"
"53",27,20,"QUAN","doctorfish",NA,1,20,20,20,"ACANCH"
"54",28,23,"QUAN","doctorfish",NA,1,23,23,23,"ACANCH"
"55",29,25,"QUAN","doctorfish",NA,1,25,25,25,"ACANCH"
"56",30,22.5081936956819,"QUAN","doctorfish",NA,25,17,28,22.5,"ACANCH"
"57",30,22.7751873314331,"QUAN","doctorfish",NA,25,17,28,22.5,"ACANCH"
"58",30,22.6231350859514,"QUAN","doctorfish",NA,25,17,28,22.5,"ACANCH"
"59",30,23.3960333142963,"QUAN","doctorfish",NA,25,17,28,22.5,"ACANCH"
"60",30,22.8357436171679,"QUAN","doctorfish",NA,25,17,28,22.5,"ACANCH"
"61",30,22.2984410887794,"QUAN","doctorfish",NA,25,17,28,22.5,"ACANCH"
"62",30,23.3466752824069,"QUAN","doctorfish",NA,25,17,28,22.5,"ACANCH"
