"","Species.ID","Length","Gear.Type","Data.Type"
"1","SCARVI",35,"pots","Fishery"
"2","SCARVI",33,"pots","Fishery"
"3","SCARVI",33.5,"pots","Fishery"
"4","SCARVI",23,"pots","Fishery"
"5","SCARVI",31,"pots","Fishery"
"6","SCARVI",33,"pots","Fishery"
"7","SCARVI",32,"pots","Fishery"
"8","SCARVI",33,"pots","Fishery"
"9","SCARVI",32.5,"pots","Fishery"
"10","SCARVI",32.5,"pots","Fishery"
"11","SCARVI",34,"pots","Fishery"
"12","SCARVI",26.5,"pots","Fishery"
"13","SCARVI",27,"pots","Fishery"
"14","SCARVI",30.3,"pots","Fishery"
"15","SCARVI",34,"pots","Fishery"
"16","SCARVI",25.5,"pots","Fishery"
"17","SCARVI",29.3,"pots","Fishery"
"18","SCARVI",23.6,"pots","Fishery"
"19","SCARVI",23.5,"pots","Fishery"
"20","SCARVI",36.4,"line","Fishery"
"21","SCARVI",33,"pots","Fishery"
"22","SCARVI",31.4,"pots","Fishery"
"23","SCARVI",32.5,"pots","Fishery"
