,Common name,Total Catch (kg),Portion of Total Catch (%),
1,Gar,"201,702.88",32.92,
2,Red hind,"47,753.69",7.79,
3,Queen triggerfish,"33,966.34",5.54,
4,Ballyhoo,"31,417.23",5.13,
5,Longjaw squirrelfish,"25,642.85",4.18,
6,Blue tang,"25,637.84",4.18,
7,Doctofish,"23,741.57",3.87,
8,Honeycomb cowfish,"22,298.29",3.64,
9,Jack spp.,"16,664.22",2.72,
10,Coney grouper,"13,806.40",2.25,
11,Red snapper,"12,948.41",2.11,
12,Sillk snaper,"12,916.20",2.11,
13,Speckled swmming crab,"6,068.65",0.99,76.45
14,Other,"144,300.00",23.55,
15,haemfl,"5,414.22",0.88,
16,scomso,"5,263.91",0.86,
17,cararu,"5,251.76",0.86,
18,scarvi,"5,025.90",0.82,
19,beloar,"4,516.91",0.74,
20,serrad,"4,477.95",0.73,
21,pcantr,"4,196.46",0.68,
22,carahi,"3,648.30",0.60,
23,scarco,"3,557.60",0.58,
24,,"3,520.61",0.57,
25,acanba,"3,502.45",0.57,
26,lutjjo,"3,406.97",0.56,
27,haemca,"3,363.00",0.55,
28,holoru,"3,265.23",0.53,
29,lutjau,"3,256.16",0.53,
30,scar,"3,225.08",0.53,
31,paliar,"3,184.40",0.52,
32,monasr,"3,000.11",0.49,
33,squa,"2,663.07",0.43,
34,haem,2283.182422,0.372584785,
35,lutj,2191.331996,0.357596026,
36,haemal,2167.519246,0.353710104,
37,peprtr,2085.652818,0.3403506,
38,sphy,2059.564218,0.33609329,
39,sparrh,1891.231978,0.308623723,
40,lutjan,1738.649466,0.283724301,
41,lutjch,1647.017413,0.268771178,
42,pcanpa,1609.379399,0.262629158,
43,kyphse,1397.5387,0.228059594,
44,scomre,1382.56436,0.225615982,
45,albuvu,1371.680639,0.223839905,
46,scomsa,1199.310967,0.195711483,
47,cory,1147.146312,0.187198911,
48,ostrtr,1113.127768,0.18164754,
49,haemsu,1063.235212,0.173505743,
50,scomt,1040.058661,0.16972364,
51,pcan,1004.723986,0.163957495,
52,balini,939.407504,0.15329872,
53,holo,900.3951947,0.146932434,
54,sparba,884.985475,0.144417774,
55,scomal,844.8253061,0.137864172,
56,scom,843.2423093,0.137605848,
57,hoload,838.3521588,0.136807841,
58,scomaa,827.3633411,0.135014614,
59,holoja,813.7533684,0.132793648,
60,pcanar,782.9118362,0.127760723,
61,balipu,782.9046992,0.127759559,
62,caraba,772.7070082,0.126095432,
63,sciali,736.4154783,0.120173141,
64,lutjsy,679.4899591,0.110883659,
65,carari,677.2154808,0.110512494,
66,carccu,647.2842768,0.105628123,
67,carala,643.6550799,0.105035886,
68,lutjap,628.6917395,0.10259407,
69,serrst,617.8015828,0.100816942,
70,caracy,616.8947632,0.100668961,
71,chelim,577.4318423,0.094229141,
72,scarce,567.9108614,0.092675445,
73,lutjgr,557.9316601,0.091046973,
74,ostryo,545.6799059,0.08904765,
75,orecci,531.618049,0.086752944,
76,caralu,520.962167,0.085014047,
77,labrra,480.1316303,0.07835105,
78,serrcr,442.9429787,0.07228236,
79,priaar,429.5549749,0.070097617,
80,mullmc,425.2531474,0.069395617,
81,strogi,389.8682183,0.06362127,
82,clup,386.4682252,0.063066437,
83,labrpa,376.4907672,0.06143825,
84,lutjma,361.5174316,0.058994802,
85,lutjvs,359.9352783,0.058736616,
86,ptervo,354.255352,0.057809728,
87,carcbe,347.9101252,0.056774272,
88,classo,315.9721872,0.051562428,
89,priacr,315.2532261,0.051445103,
90,labrru,310.7233856,0.050705894,
91,haemcr,301.8723948,0.049261531,
92,scomab,283.9524307,0.046337233,
93,serrbo,255.375488,0.041673859,
94,lutjaq,241.3145162,0.039379296,
95,istini,226.7975453,0.037010321,
96,scarve,222.7195535,0.036344847,
97,muramo,218.6354198,0.035678372,
98,scarch,217.7281209,0.035530313,
99,pcanci,212.747714,0.034717577,
100,lutjbu,201.3965962,0.032865227,
101,lutjoc,196.8616053,0.032125177,
102,serre,175.9965053,0.028720272,
103,monama,174.1836324,0.028424435,
104,scomca,173.7286517,0.028350189,
105,lutjde,168.2858484,0.027461996,
106,albu,162.8426735,0.026573743,
107,bali,156.4906863,0.025537184,
108,murafu,134.2666244,0.021910514,
109,scarau,120.6594659,0.019690008,
110,portcr,119.2977608,0.019467796,
111,carcpe,118.8427617,0.019393547,
112,caravo,115.213769,0.018801344,
113,caradu,110.6767426,0.018060962,
114,--,108.408488,0.017690813,
115,caraci,104.3269057,0.017024753,
116,carast,102.9667936,0.016802801,
117,carabi,100.2464885,0.016358884,
118,chae,98.43280264,0.016062915,
119,chelmy,95.25580901,0.015544472,
120,mugi,83.91583176,0.01369394,
121,istipl,79.83318468,0.013027706,
122,sphrmo,74.84384995,0.012213514,
123,lutjl,67.585208,0.011029001,
124,ostrti,65.54486858,0.010696044,
125,sparoch,63.50288,0.010362819,
126,scomat,60.78187812,0.009918788,
127,congtr,59.64588041,0.009733409,
128,sparch,58.96696,0.009622618,
129,carago,58.96688177,0.009622605,
130,sphrle,56.69988632,0.009252662,
131,scomma,53.97774996,0.008808446,
132,scompe,47.62790451,0.007772236,
133,chel,46.26690723,0.007550139,
134,serrmo,45.81405851,0.007476241,
135,cong,44.45291088,0.00725412,
136,scarta,42.63891451,0.0069581,
137,pria,41.27791724,0.006736003,
138,mullpa,40.82391815,0.006661917,
139,octovu,40.82391815,0.006661917,
140,balica,39.91751288,0.006514003,
141,carcta,38.5559227,0.00629181,
142,mullma,38.1039236,0.00621805,
143,exoc,37.64892452,0.0061438,
144,class d,36.740952,0.005995631,
145,chaest,32.66093452,0.005329827,
146,monapu,32.20593543,0.005255577,
147,labr,31.75193634,0.005181491,
148,paligu,31.29993725,0.00510773,
149,pali,28.12294362,0.004589288,
150,ostrbi,27.21694543,0.004441441,
151,carcsp,27.21594543,0.004441278,
152,carcmi,27.21594543,0.004441278,
153,octobr,26.76194635,0.004367191,
154,athe,25.85494816,0.004219181,
155,carclo,25.85494816,0.004219181,
156,no data,24.94756,0.004071108,
157,haembo,24.94691453,0.004071002,
158,carafu,23.586784,0.003849047,
159,malapl,22.67995453,0.003701065,
160,serrfi,22.226008,0.003626987,
161,elopat,21.77263727,0.003553003,
162,serve,21.772416,0.003552967,
163,haemma,20.86695816,0.003405208,
164,haemvi,20.41525981,0.003331497,
165,sciala,19.73296044,0.003220155,
166,luttjo,19.050864,0.003108846,
167,ostrqu,18.82496226,0.003071982,
168,sphyba,18.59796271,0.003034938,
169,scialu,18.597272,0.003034826,
170,mura,18.59696272,0.003034775,
171,carcli,18.14396362,0.002960852,
172,scarru,16.78296635,0.002738755,
173,haemst,15.8773398,0.002590969,
174,isti,15.87596817,0.002590745,
175,carah,15.87572,0.002590705,
176,lutjam,15.87572,0.002590705,
177,ephifa,15.42296908,0.002516822,
178,serffu,14.968536,0.002442665,
179,serr,13.60797272,0.002220639,
180,serrfgu,13.60776,0.002220604,
181,acnach,13.60776,0.002220604,
182,scargu,13.15497363,0.002146715,
183,carafa,12.70097453,0.002072629,
184,labrmx,11.79397635,0.001924619,
185,otsrpo,11.3398,0.001850503,
186,echena,9.978979993,0.001628436,
187,belot,9.978979993,0.001628436,
188,lutjpu,9.978979993,0.001628436,
189,scomf,9.525432,0.001554423,
190,pcanbe,9.524980904,0.001554349,
191,haemme,9.071981813,0.001480426,
192,sparca,9.071981812,0.001480426,
193,ariia,9.071981811,0.001480426,
194,scarcr,9.071981811,0.001480426,
195,sciasa,9.071981811,0.001480426,
196,baline,9.07184,0.001480403,
197,lutjsch,9.07184,0.001480403,
198,serrsf,9.07184,0.001480403,
199,labriu,8.618248,0.001406383,
200,mugicu,8.164983629,0.001332416,
201,scyl,7.484984994,0.001221449,
202,dasy,7.257985448,0.001184406,
203,cent,6.803986359,0.001110319,
204,cichoc,6.803986358,0.001110319,
205,ogco,6.803986358,0.001110319,
206,pepr,6.803986358,0.001110319,
207,carrafu,6.80388,0.001110302,
208,lutjjjo,6.80388,0.001110302,
209,pcancr,6.80388,0.001110302,
210,scombi,6.80388,0.001110302,
211,haempl,6.350987269,0.001036396,
212,pomcsa,6.350987267,0.001036396,
213,carapu,6.349987269,0.001036233,
214,pomcta,5.896988177,0.000962309,
215,pomc,5.896988177,0.000962309,
216,caran,5.443104,0.000888242,
217,lutvi,5.443104,0.000888242,
218,haempa,5.442989089,0.000888223,
219,labrpu,5.442989088,0.000888223,
220,coryhi,5.442989087,0.000888223,
221,lutjcy,5.442989087,0.000888223,
222,serrti,4.989989995,0.0008143,
223,serrfr,4.536990903,0.000740376,
224,chaeca,4.535990906,0.000740213,
225,serrve,4.535990906,0.000740213,
226,abalive,4.53592,0.000740201,
227,albuuu,4.53592,0.000740201,
228,blaive,4.53592,0.000740201,
229,class o,4.53592,0.000740201,
230,heamfl,4.53592,0.000740201,
231,lutjo,4.53592,0.000740201,
232,monesr,4.53592,0.000740201,
233,serrd,4.082991813,0.00066629,
234,fillet,3.628992724,0.000592203,
235,scomth,3.628992724,0.000592203,
236,haemel,3.628736,0.000592161,
237,plaiar,3.628736,0.000592161,
238,sphypi,3.40199318,0.00055516,
239,sciapu,3.175993632,0.00051828,
240,istiab,3.174993634,0.000518116,
241,haemsc,2.721994542,0.000444193,
242,muravi,2.721994542,0.000444193,
243,sparro,2.721994542,0.000444193,
244,ananch,2.721552,0.000444121,
245,carafi,2.721552,0.000444121,
246,hemca,2.721552,0.000444121,
247,lutjvsy,2.721552,0.000444121,
248,unknown,2.721552,0.000444121,
249,loli,2.268995451,0.00037027,
250,carcpo,2.267995453,0.000370106,
251,gerrgu,2.267995453,0.000370106,
252,haemno,2.267995453,0.000370106,
253,hemiba,2.267995453,0.000370106,
254,muraro,2.267995453,0.000370106,
255,sparpn,2.267995453,0.000370106,
256,echema,2.26796,0.000370101,
257,echere,2.26796,0.000370101,
258,pomcch,1.81599636,0.000296346,
259,scylan,1.814996362,0.000296183,
260,congoc,1.814996361,0.000296183,
261,haelca,1.814368,0.000296081,
262,bran,1.813996363,0.00029602,
263,syno,1.360997272,0.000222097,
264,aulo,1.360997271,0.000222097,
265,dactvo,1.360997271,0.000222097,
266,scia,1.360997271,0.000222097,
267,hacmca,1.360776,0.00022206,
268,ostrpr,1.360776,0.00022206,
269,scombr,1.360776,0.00022206,
270,haemf,0.907184,0.00014804,
271,haemja,0.907184,0.00014804,
272,haemoa,0.907184,0.00014804,
273,lutjama,0.907184,0.00014804,
274,manama,0.907184,0.00014804,
275,pacantr,0.907184,0.00014804,
276,palican,0.907184,0.00014804,
277,scarcco,0.907184,0.00014804,
278,scarro,0.907184,0.00014804,
279,sporba,0.907184,0.00014804,
280,gram,0.906998182,0.00014801,
281,monasc,0.906998182,0.00014801,
282,octoo,0.906998182,0.00014801,
283,sparc,0.906998182,0.00014801,
284,carasc,0.45399909,7.41E-05,
285,chaeoc,0.45399909,7.41E-05,
286,baliiu,0.453592,7.40E-05,
287,haeca,0.453592,7.40E-05,
288,haemvl,0.453592,7.40E-05,
289,labbru,0.453592,7.40E-05,
290,labrau,0.453592,7.40E-05,
