,x,,,
1,needlefishes,needlefish,Belonidae,needlefish
2,longjaw squirrelfish,squirrelfish,Holocentridae,squirrelfish/soldierfish
3,"triggerfish,queen",queen triggerfish,Balistidae,triggerfish
4,"hind,rock",rock hind,Serranidae,grouper
5,parrotfishes,Scaridae,Scaridae,parrotfish
6,"cowfish,honeycomb",cowfish,Ostraciidae,cowfish
7,doctorfish,doctorfish,Acanthuridae,surgeonfish
8,butterfish,coney,Serranidae,grouper
9,snappers,snappers,Lutjanidae,snapper
10,grunts,grunts,Haemulidae,grunts
11,blue tang,blue tang,Acanthuridae,surgeonfish
12,rock beauty,rock beauty,Pomacanthidae,angelfish
13,ballyhoo,ballyhoo,Hemiramphidae,half beaks
14,goatfishes,goatfish,Mullidae,goatfish
15,angelfishes,angelfish,Pomacanthidae,angelfish
16,"parrotfish,blue",parrotfish,Scaridae,parrotfish
17,"snapper,silk",snappers,Lutjanidae,snapper
18,margate,margate,Haemulidae,grunts
19,"jack,crevalle",jacks,Carangidae,jacks
20,"hind,red",red hind,Serranidae,grouper
21,"sharks,unclassified",sharks,Carcharhinidae,shark
22,"surgeon,ocean",surgeonfish,Acanthuridae,surgeonfish
23,wenchman,wenchman,Lutjanidae,snapper
24,"lobster,carib. spiny",lobster,Palinuridae,lobster
25,coney,coney,Serranidae,grouper
26,"crab,speckled swimmin",crab,Portunidae,crab
27,"snapper,glasseye",snappers,Lutjanidae,snapper
28,puddingwife,,Labridae,wrasse
29,butterflyfishes,butterfly fish,Chaetodontidae,butterfly fish
30,unknown,,,
31,triggerfishes,triggerfish,Balistidae,triggerfish
32,herrings,herrings,Clupeidae,herring
33,"conger,manytooth",manytooth conger,Congrinae,eel
34,wahoo,wahoo,Scombridae,mackerel/tuna
35,"shark,lemon",shark,Carcharhinidae,shark
36,"soldierfish,blackbar",soldierfish,Holocentridae,squirrelfish/soldierfish
37,"parrotfish,stoplight",parrotfish,Scaridae,
38,"shark,sand tiger",shark,Odontaspididae,shark
39,"octopus,common",octopus,Octopodidae,octopus
40,"triggerfish,ocean",triggerfish,Balistidae,triggerfish
41,"chub,bermuda",chub,Kyphosidae,chub
42,"jack,horse eye",jacks,Carangidae,jacks
43,silversides,,Atherinopsidae,silverside
44,"butterflyfish,banded",butterfly fish,Chaetodontidae,
45,"jack,almaco",jacks,Carangidae,
46,"turtle,hawksbill",turtle,Cheloniidae,
47,"angelfish,queen",angelfish,Pomacanthidae,
48,"shark,nurse",shark,Ginglymostomatidae,shark
49,mullets,mullets,Mugilidae,
50,"snapper,red",snappers,Lutjanidae,
51,dolphins,dolphinfish,Coryphaenidae,dolphinfish
