Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,17,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,19,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,27,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,26,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,4.53013606,0,0,0,0,0
2015,-999,5.019231856,0,0,0,0,0
2015,-999,5.703290514,0,0,0,0,0
2015,-999,4.462960583,0,0,0,0,0
2015,-999,5.276899189,0,0,0,0,0
2015,-999,5.61169933,0,0,0,0,0
2015,-999,4.98271094,0,0,0,0,0
2015,-999,6.053764857,0,0,0,0,0
2015,-999,6.953567876,0,0,0,0,0
2015,-999,4.675784095,0,0,0,0,0
2015,-999,5.164784228,0,0,0,0,0
2015,-999,5.744589981,0,0,0,0,0
2015,-999,4.721141516,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,27,0,0,0,0,0
2015,-999,21,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,22,0,0,0,0,0
2015,-999,21.69858312,0,0,0,0,0
2015,-999,22.21258736,0,0,0,0,0
2015,-999,21.11110332,0,0,0,0,0
2015,-999,21.96149677,0,0,0,0,0
2015,-999,22.16095514,0,0,0,0,0
2015,-999,24.04683877,0,0,0,0,0
2015,-999,22.62367509,0,0,0,0,0
2015,-999,24.94799724,0,0,0,0,0
2015,-999,21.94528909,0,0,0,0,0
2015,-999,20.62495394,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,25,0,0,0,0,0
2015,-999,22.5081937,0,0,0,0,0
2015,-999,22.77518733,0,0,0,0,0
2015,-999,22.62313509,0,0,0,0,0
2015,-999,23.39603331,0,0,0,0,0
2015,-999,22.83574362,0,0,0,0,0
2015,-999,22.29844109,0,0,0,0,0
2015,-999,23.34667528,0,0,0,0,0
2015,-999,20.91271277,0,0,0,0,0
2015,-999,24.29446647,0,0,0,0,0
2015,-999,22.75510042,0,0,0,0,0
2015,-999,21.62445807,0,0,0,0,0
2015,-999,22.0423838,0,0,0,0,0
2015,-999,22.47432188,0,0,0,0,0
2015,-999,22.32716352,0,0,0,0,0
2015,-999,23.45648141,0,0,0,0,0
2015,-999,22.08520371,0,0,0,0,0
2015,-999,22.34741201,0,0,0,0,0
2015,-999,22.81840846,0,0,0,0,0
2015,-999,23.62855628,0,0,0,0,0
2015,-999,23.19381724,0,0,0,0,0
2015,-999,24.06533038,0,0,0,0,0
2015,-999,24.72637158,0,0,0,0,0
2015,-999,22.60288847,0,0,0,0,0
2015,-999,23.000961,0,0,0,0,0
2015,-999,21.63109616,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,24,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,30,0,0,0,0,0
2015,-999,10,0,0,0,0,0
2015,-999,18,0,0,0,0,0
2015,-999,20,0,0,0,0,0
2015,-999,18.47448921,0,0,0,0,0
2015,-999,18.61249487,0,0,0,0,0
2015,-999,19.07739941,0,0,0,0,0
2015,-999,19.93690323,0,0,0,0,0
2015,-999,20.27342845,0,0,0,0,0
2015,-999,21.22141598,0,0,0,0,0
2015,-999,17.38103457,0,0,0,0,0
2015,-999,17.52357373,0,0,0,0,0
2015,-999,19.77430901,0,0,0,0,0
2015,-999,18.02467605,0,0,0,0,0
2015,-999,18.13750059,0,0,0,0,0
2015,-999,18.00276278,0,0,0,0,0
2015,-999,20.00495994,0,0,0,0,0
2015,-999,20.82119816,0,0,0,0,0
2015,-999,19.42301125,0,0,0,0,0
2015,-999,17.7228352,0,0,0,0,0
2015,-999,19.30601789,0,0,0,0,0
2015,-999,20.06529511,0,0,0,0,0
2015,-999,20.86196866,0,0,0,0,0
2015,-999,20.29745409,0,0,0,0,0
2015,-999,18,0,0,0,0,1
2015,-999,24.5,0,0,0,0,1
2015,-999,17,0,0,0,0,1
2015,-999,19.5,0,0,0,0,1
2015,-999,18,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,20.5,0,0,0,0,1
2015,-999,18.5,0,0,0,0,1
2015,-999,19,0,0,0,0,1
2015,-999,27,0,0,0,0,1
2015,-999,22.5,0,0,0,0,1
2015,-999,20.5,0,0,0,0,1
2015,-999,19,0,0,0,0,1
2015,-999,18,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,15.5,0,0,0,0,1
2015,-999,23,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,14,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,13,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,23.5,0,0,0,0,1
2015,-999,24.5,0,0,0,0,1
2015,-999,24,0,0,0,0,1
2015,-999,15.5,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,14.5,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,15.5,0,0,0,0,1
2015,-999,15.5,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,14.5,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,19.5,0,0,0,0,1
2015,-999,22.5,0,0,0,0,1
2015,-999,24,0,0,0,0,1
2015,-999,24,0,0,0,0,1
2015,-999,25,0,0,0,0,1
2015,-999,24,0,0,0,0,1
2015,-999,25,0,0,0,0,1
2015,-999,25.5,0,0,0,0,1
2015,-999,24.5,0,0,0,0,1
2015,-999,22,0,0,0,0,1
2015,-999,24.5,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,17,0,0,0,0,1
2015,-999,18,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,18,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,25,0,0,0,0,1
2015,-999,23,0,0,0,0,1
2015,-999,25,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,17,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,20,0,0,0,0,1
2015,-999,17,0,0,0,0,1
2015,-999,15,0,0,0,0,1
2015,-999,15.5,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,16.5,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,16,0,0,0,0,1
2015,-999,17,0,0,0,0,1
2015,-999,25.5,0,0,0,0,1
2015,-999,25,0,0,0,0,1
2015,-999,18,0,0,0,0,1
2015,-999,22,0,0,0,0,1
2015,-999,21,0,0,0,0,1
2015,-999,21,0,0,0,0,1
2015,-999,24,0,0,0,0,1
2015,-999,24.5,0,0,0,0,1
2015,-999,6.75,0,0,0,0,1
2015,-999,7.25,0,0,0,0,1
2015,-999,6.25,0,0,0,0,1
2015,-999,6.25,0,0,0,0,1
2015,-999,6.5,0,0,0,0,1
2015,-999,23.4,0,0,0,0,1
2015,-999,22,0,0,0,0,1
2015,-999,19,0,0,0,0,1
2015,-999,26.5,0,0,0,0,1
2015,-999,20.5,0,0,0,0,1
2015,-999,19,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,24.3,0,0,0,0,1
2015,-999,17.5,0,0,0,0,1
2015,-999,19,0,0,0,0,1
2015,-999,22,0,0,0,0,1
2015,-999,17.9,0,0,0,0,1
2015,-999,17,0,0,0,0,1
2015,-999,18.5,0,0,0,0,1
2015,-999,16.2,0,0,0,0,1
2015,-999,19.5,0,0,0,0,1
2015,-999,21,0,0,0,0,1
2015,-999,23.2,0,0,0,0,1
2015,-999,14.1,0,0,0,0,1
2015,-999,16.8,0,0,0,0,1
2015,-999,23.6,0,0,0,0,1
