"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Lane Snapper","All","LBSPR",2015,"LBAR",66,"-999",-999,37.2095211107517,284.356699946505,"FvM","1"
"2","Lane Snapper","All","LBSPR",1994,"CatchMSY",1.814,"0.0502212988354842",0.0301074501836964,0.113366439244939,0.408052082515685,"Catch/MSY",NA
"3","Lane Snapper","All","LBSPR",1995,"CatchMSY",3.77966666666667,"0.104641548602638",0.0627321531850301,0.236211329400654,0.408052082515685,"Catch/MSY",NA
"4","Lane Snapper","All","LBSPR",1996,"CatchMSY",5.74533333333333,"0.159061798369792",0.0953568561863638,0.35905621955637,0.408052082515685,"Catch/MSY",NA
"5","Lane Snapper","All","LBSPR",1997,"CatchMSY",7.711,"0.213482048136945",0.127981559187697,0.481901109712086,0.408052082515685,"Catch/MSY",NA
"6","Lane Snapper","All","LBSPR",1998,"CatchMSY",9.67666666666667,"0.267902297904099",0.160606262189031,0.604745999867801,0.408052082515685,"Catch/MSY",NA
"7","Lane Snapper","All","LBSPR",1999,"CatchMSY",11.6423333333333,"0.322322547671253",0.193230965190365,0.727590890023517,0.408052082515685,"Catch/MSY",NA
"8","Lane Snapper","All","LBSPR",2000,"CatchMSY",13.608,"0.376742797438407",0.225855668191698,0.850435780179232,0.408052082515685,"Catch/MSY",NA
"9","Lane Snapper","All","LBSPR",2001,"CatchMSY",7.258,"0.200940566123453",0.120462995277436,0.453590747541216,0.408052082515685,"Catch/MSY",NA
"10","Lane Snapper","All","LBSPR",2002,"CatchMSY",22.22675,"0.615356259036163",0.368903400424738,1.38906698097433,0.408052082515685,"Catch/MSY",NA
"11","Lane Snapper","All","LBSPR",2003,"CatchMSY",37.1955,"1.02977195194887",0.61734380557204,2.32454321440745,0.408052082515685,"Catch/MSY",NA
"12","Lane Snapper","All","LBSPR",2004,"CatchMSY",52.16425,"1.44418764486158",0.865784210719342,3.26001944784057,0.408052082515685,"Catch/MSY",NA
"13","Lane Snapper","All","LBSPR",2005,"CatchMSY",67.133,"1.85860333777429",1.11422461586664,4.19549568127369,0.408052082515685,"Catch/MSY",NA
"14","Lane Snapper","All","LBSPR",2006,"CatchMSY",54.885,"1.51951267176712",0.910941236677055,3.4300534828878,0.408052082515685,"Catch/MSY",NA
"15","Lane Snapper","All","LBSPR",2007,"CatchMSY",56.701,"1.56978934138412",0.941081881403402,3.5435449126942,0.408052082515685,"Catch/MSY",NA
"16","Lane Snapper","All","LBSPR",2008,"CatchMSY",85.277,"2.36092706769217",1.41536550678891,5.329410054846,0.408052082515685,"Catch/MSY",NA
"17","Lane Snapper","All","LBSPR",2009,"CatchMSY",144.7,"4.00607604272027",2.40162516073918,9.04306712168834,0.408052082515685,"Catch/MSY",NA
"18","Lane Snapper","All","LBSPR",2010,"CatchMSY",82.553744,"2.28553266119739",1.37016688806925,5.15921940662527,0.408052082515685,"Catch/MSY",NA
"19","Lane Snapper","All","LBSPR",2011,"CatchMSY",92.079176,"2.54924796825863",1.52826306746186,5.75451395354357,0.408052082515685,"Catch/MSY",NA
"20","Lane Snapper","All","LBSPR",2012,"CatchMSY",73.481904,"2.03437522590097",1.21959909817153,4.59227221908403,0.408052082515685,"Catch/MSY",NA
"21","Lane Snapper","All","LBSPR",2013,"CatchMSY",1.814,"0.0502212988354842",0.0301074501836964,0.113366439244939,0.408052082515685,"Catch/MSY",NA
"22","Lane Snapper","All","LBSPR",2014,"CatchMSY",3.77966666666667,"0.104641548602638",0.0627321531850301,0.236211329400654,0.408052082515685,"Catch/MSY",NA
"23","Lane Snapper","All","LBSPR",2015,"CatchMSY",5.74533333333333,"0.159061798369792",0.0953568561863638,0.35905621955637,0.408052082515685,"Catch/MSY",NA
