Year,Month,Catch,Units,Sex,Special
1994,-999,NA,Kilograms,-999,-999
1995,-999,NA,Kilograms,-999,-999
1996,-999,NA,Kilograms,-999,-999
1997,-999,1.814,Kilograms,-999,-999
1998,-999,NA,Kilograms,-999,-999
1999,-999,NA,Kilograms,-999,-999
2000,-999,NA,Kilograms,-999,-999
2001,-999,NA,Kilograms,-999,-999
2002,-999,NA,Kilograms,-999,-999
2003,-999,13.608,Kilograms,-999,-999
2004,-999,7.258,Kilograms,-999,-999
2005,-999,NA,Kilograms,-999,-999
2006,-999,NA,Kilograms,-999,-999
2007,-999,NA,Kilograms,-999,-999
2008,-999,67.133,Kilograms,-999,-999
2009,-999,54.885,Kilograms,-999,-999
2010,-999,56.701,Kilograms,-999,-999
2011,-999,85.277,Kilograms,-999,-999
2012,-999,144.7,Kilograms,-999,-999
2013,-999,82.553744,Kilograms,-999,-999
2014,-999,92.079176,Kilograms,-999,-999
2015,-999,73.481904,Kilograms,-999,-999
