Year,Month,Catch,Units,Sex,Special
1994,-999,2958.823068,Kilograms,-999,-999
1995,-999,9274.710405,Kilograms,-999,-999
1996,-999,9402.154149,Kilograms,-999,-999
1997,-999,15174.85957,Kilograms,-999,-999
1998,-999,11245.36145,Kilograms,-999,-999
1999,-999,6649.964667,Kilograms,-999,-999
2000,-999,8461.848034,Kilograms,-999,-999
2001,-999,12503.38593,Kilograms,-999,-999
2002,-999,11872.8892,Kilograms,-999,-999
2003,-999,11562.18882,Kilograms,-999,-999
2004,-999,9092.801769,Kilograms,-999,-999
2005,-999,9730.329491,Kilograms,-999,-999
2006,-999,14664.7806,Kilograms,-999,-999
2007,-999,7550.111862,Kilograms,-999,-999
2008,-999,6771.741423,Kilograms,-999,-999
2009,-999,6534.510899,Kilograms,-999,-999
2010,-999,7804.128353,Kilograms,-999,-999
2011,-999,5098.879777,Kilograms,-999,-999
2012,-999,8236.399486,Kilograms,-999,-999
2013,-999,8005.8988,Kilograms,-999,-999
2014,-999,10880.3113,Kilograms,-999,-999
2015,-999,8226.798104,Kilograms,-999,-999
