Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,35,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,33.5,0,0,0,0,0
2015,-999,23,0,0,0,0,0
2015,-999,31,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,32,0,0,0,0,0
2015,-999,33,0,0,0,0,0
2015,-999,32.5,0,0,0,0,0
2015,-999,32.5,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,26.5,0,0,0,0,0
2015,-999,27,0,0,0,0,0
2015,-999,30.3,0,0,0,0,0
2015,-999,34,0,0,0,0,0
2015,-999,25.5,0,0,0,0,0
2015,-999,29.3,0,0,0,0,0
2015,-999,23.6,0,0,0,0,0
2015,-999,23.5,0,0,0,0,1
2015,-999,36.4,0,0,0,0,1
2015,-999,33,0,0,0,0,1
2015,-999,31.4,0,0,0,0,1
2015,-999,32.5,0,0,0,0,1
