id,Country,Site,Family,Scientific,Common,k,kUnits,kError,Linf,LinfUnit1,LinfUnit2,LinfError,t0,t0Error,WeightA,WeightB,WeightUnit1,WeightUnit2,WeightUnit3,AgeAvg,AgeUnits,Size,SizeUnit1,SizeUnit2,MortYr,MortInst,PLD,Range,RangeError,MatLeng,MatLengUnit1,MatAge,MatAgeUnit,FecundA,FecundB,FecundEggs,FecundUnit1,SpawnFreq,Steepness
3,Indonesia,Alor,Labridae,Bolbometopon muricatum,Bumphead Parrotfish,0.063,yr,NA,157.75,cm,xL,NA,-0.47,NA,0.01307,3.05,cm,xL,g,40,yr,130,cm,TL,0.21,0.235722334,31,3696.297154,NA,53.5,cm,6.104914932,yr,1,3,NA,g,1,0.5
8,Indonesia,Alor,Carangidae,Caranx ignobilis,Giant trevally,0.69,yr,NA,184,cm,xL,NA,-0.0242,NA,0.0202,3,cm,FL,g,26.3,yr,170,cm,TL,0.2,0.223143551,53.8,970,NA,60,cm,0.547762597,yr,1,3,NA,g,1,0.5
15,Indonesia,Alor,Labridae,Cheilinus undulatus,Napoleon wrasse,0.1,yr,NA,138,cm,TL,NA,-1.14,NA,0.000023178,2.9589,mm,TL,g,27.5,yr,229,cm,SL,0.14,0.15082289,34.3,13983.4194,NA,42.5,cm,2.541274377,yr,1,3,NA,g,1,0.5
19,Indonesia,Alor,Serranidae,Epinephelus polyphekadion,Camouflage grouper,0.1875,yr,NA,55.8,cm,xL,NA,-0.245,NA,0.0124,3.057,cm,TL,g,31,yr,76,cm,SL,0.121904569,0.13,27.7,1046.916252,NA,40.275,cm,6.578051955,yr,1,3,NA,g,1,0.5
20,Indonesia,Alor,Scombridae,Euthynnus affinis,Eastern little tuna,0.56,yr,NA,81.92,cm,xL,NA,-0.0317,NA,0.01064,3.06,cm,xL,g,8,yr,NA,cm,FL,0.827955136,1.76,1.65,1995,NA,45.06666667,cm,1.394723375,yr,NA,NA,445000,NA,1,0.7
23,Indonesia,Alor,Scombridae,Katsuwonus pelamis,Skipjack tuna,0.55,yr,NA,102,cm,xL,NA,-0.02,NA,7.65E-06,3.24281,cm,FL,kg,12,yr,NA,cm,FL,0.546155205,0.79,1,65000,NA,43,cm,0.975337035,yr,NA,NA,629000,NA,4,0.91
32,Indonesia,Alor,Lutjanidae,Lutjanus gibbus,Humpback snapper,0.31,yr,NA,44.2,cm,FL,NA,0,NA,0.021,2.996,cm,FL,g,21,yr,72,cm,TL,0.559568345,0.82,54,922.0009459,NA,14.075,cm,1.236675475,yr,NA,NA,88736,NA,1,0.7
41,Indonesia,Alor,Epinephelidae,Plectropomus leopardus,Leopard coral grouper,0.088,yr,NA,63.013,cm,xL,NA,-4.4114,NA,0.000009,3.2064,mm,FL,g,14,yr,120,cm,SL,0.247,0.283690051,25.2,171,NA,34,cm,4.402202828,yr,NA,NA,410000,NA,1,0.5
48,Indonesia,Alor,Carangidae,Selaroides leptolepis,Yellowstripe scad,1.12,yr,NA,20,cm,TL,NA,-0.16,NA,0.0314,2.88,cm,SL,g,2.5,yr,22,cm,TL,0.842762834,1.85,53.8,56.8451347,NA,9.875,cm,0.447789876,yr,1,3,NA,g,1,0.84
52,Indonesia,Alor,Scombridae,Thunnus alalunga,Albacore tuna,0.2011,yr,NA,208.7,cm,xL,NA,-0.9906,NA,0.00003,2.9278,cm,FL,kg,9,yr,NA,cm,FL,0.34,0.415515444,1.2,4399,NA,90,cm,1.815459237,yr,NA,NA,2500000,NA,2,0.7
