"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag","SA","FSlope"
"1","silk Snapper","All","LBSPR",2015,"LBAR",278,NA,0.940940209011444,1.65160796592621,0.155236224638278,"FvM","None","silk Snapper-LBAR-FvM",NA
"2","silk Snapper","All","LBSPR",1994,"CatchMSY",432.2811333,NA,0.579749374108632,1.89669460209393,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"3","silk Snapper","All","LBSPR",1995,"CatchMSY",440.900116,NA,0.591308633675739,1.93451160751777,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"4","silk Snapper","All","LBSPR",1996,"CatchMSY",130.182739,NA,0.174593234913677,0.571195176764155,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"5","silk Snapper","All","LBSPR",1997,"CatchMSY",215.460568,NA,0.288962713892955,0.94536371081012,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"6","silk Snapper","All","LBSPR",1998,"CatchMSY",1011.978971,NA,1.3572051377065,4.44020084123405,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"7","silk Snapper","All","LBSPR",1999,"CatchMSY",1275.062444,NA,1.71003681843642,5.59451678218198,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"8","silk Snapper","All","LBSPR",2000,"CatchMSY",717.5945612,NA,0.962394529096277,3.14854761374801,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"9","silk Snapper","All","LBSPR",2001,"CatchMSY",827.8213402,NA,1.11022403450962,3.63218319399993,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"10","silk Snapper","All","LBSPR",2002,"CatchMSY",227.7105434,NA,0.305391641791753,0.999112210171157,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"11","silk Snapper","All","LBSPR",2003,"CatchMSY",139.7077199,NA,0.187367564602822,0.612987377409517,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"12","silk Snapper","All","LBSPR",2004,"CatchMSY",347.4553034,NA,0.465986089050708,1.52450927801731,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"13","silk Snapper","All","LBSPR",2005,"CatchMSY",164.6566699,NA,0.220827591036892,0.722454423615466,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"14","silk Snapper","All","LBSPR",2006,"CatchMSY",91.6268163,NA,0.122884357677082,0.402025613647715,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"15","silk Snapper","All","LBSPR",2007,"CatchMSY",564.7308677,NA,0.757382966472619,2.47783654175594,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"16","silk Snapper","All","LBSPR",2008,"CatchMSY",1074.124846,NA,1.44055143565765,4.71287465596911,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"17","silk Snapper","All","LBSPR",2009,"CatchMSY",535.4739264,NA,0.718145322031549,2.34946757451957,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"18","silk Snapper","All","LBSPR",2010,"CatchMSY",924.207147,NA,1.23949086310951,4.05508955144476,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"19","silk Snapper","All","LBSPR",2011,"CatchMSY",571.081855,NA,0.765900527449752,2.50570239664052,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"20","silk Snapper","All","LBSPR",2012,"CatchMSY",1242.403509,NA,1.66623662530571,5.45122108650412,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"21","silk Snapper","All","LBSPR",2013,"CatchMSY",347.451472,NA,0.465980950608197,1.52449246720801,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"22","silk Snapper","All","LBSPR",2014,"CatchMSY",952.996792,NA,1.27810179794755,4.18140819008358,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
"23","silk Snapper","All","LBSPR",2015,"CatchMSY",230.878328,NA,0.309640083367588,1.01301131306642,0.356324854282928,"Catch/MSY",NA,"silk Snapper-CatchMSY-Catch/MSY",NA
