"","matrix.0..nrow...length.allspecies..","Species","Linf","k","M","LBAR","Lc","Z","F","n","Fcurr"
"1",0,"ACANCH",36.68861712,0.08,0.110953047,19.5925925925926,16.5,0.442244466816767,0.331291419816767,38,2.98587040891961
"13",0,"ACANCH",33.2,0.254,0.272339298,19.5925925925926,16.5,1.1176,0.845260702000001,38,3.10370448997779
"2",0,"ACANCO",23.1,0.42,0.187233267,19.3387096774194,18.5,1.88353846153846,1.69630519453846,60,9.05984936180417
"14",0,"ACANCO",19.3,0.403,0.110953047,18.75,18.5,0.886600000000001,0.775646953000001,60,6.9907674820323
"3",0,"BALIVE",41.5,0.3,0.42796,31.1071428571429,27.5,0.864356435643565,0.436396435643565,35,1.01971314058222
"15",0,"BALIVE",46,0.14,0.21398,31.1071428571429,27.5,0.578019801980199,0.364039801980199,35,1.7012795680914
"4",0,"CARARU",59.27,0.14,0.149786614,27.625,24,1.22215172413793,1.07236511013793,8,7.15928534266708
"16",0,"CARARU",52,0.24,0.149786614,27.625,24,1.61379310344828,1.46400648944828,8,9.77394741994953
"5",0,"HOLOAD",52.23140496,0.34,0.356634794,23.9883720930233,20.5,2.75275427010133,2.39611947610133,53,6.71869238900267
"17",0,"HOLOAD",30,0.26,0.356634794,23.8095238095238,20.5,0.486330935251799,0.129696141251799,53,0.363666539086479
"6",0,"LUTJMA",58.89,0.097,0.3,24.6315789473684,19.5,0.647572,0.347572,23,1.15857333333334
"18",0,"LUTJMA",58.89,0.097,1.4978,24.6315789473684,19.5,0.647572,-0.850228,23,-0.567651221791961
"7",0,"LUTJSY",45.49,0.27,0.245551826,28.2647058823529,26,2.05361298701299,1.80806116101299,36,7.36325683447773
"19",0,"LUTJSY",59.566,0.097,0.3,28.2647058823529,26,1.34067101298701,1.04067101298701,36,3.46890337662338
"8",0,"LUTJVI",74.07,0.1,0.332859142,28.1,25,1.48290322580645,1.15004408380645,20,3.45504731189402
"20",0,"LUTJVI",72.85447761,0.09,0.332859142,28.1,25,1.29932354351613,0.966464401516128,20,2.90352368184656
"9",0,"PTERVO",42.5,0.47,0.299573227,32.2857142857143,28,1.12016666666667,0.820593439666667,8,2.73920819922492
"21",0,"PTERVO",34.9,0.42,0.299573,29.25,28,1.8984,1.598827,8,5.3370196913607
"10",0,"SCARCH",23.75,0.71,0.427961753,23,23,Inf,Inf,4,Inf
"22",0,"SCARCH",40.0029,0.6244,0.599146455,31.125,23,0.682259785846154,0.0831133308461536,4,0.138719557050794
"11",0,"SERRFU",37.7,0.2,0.15767012,25.875,25,2.70285714285714,2.54518702285714,18,16.1424816753938
"23",0,"SERRFU",31.5,0.14,0.17,25.875,25,0.9,0.73,18,4.29411764705882
"12",0,"SERRGU",55.775,0.0859,0.171184701,32.5576086956522,28,0.437592177438588,0.266407476438588,108,1.55625750947561
"24",0,"SERRGU",47.14,0.2,0.272339298,32.5576086956522,28,0.63991414261865,0.36757484461865,108,1.3496944705301
