"","matrix.0..nrow...length.allspecies..","Species","Linf","k","M","LBAR","Lc","Z","F","n","Fcurr"
"1",0,"ACANCH",36.68861712,0.08,0.110953047,18.2894736842105,13,0.278275602212936,0.167322555212936,38,1.50804831175962
"2",0,"ACANCH",33.2,0.254,0.272339298,18.2894736842105,13,0.716001990049752,0.443662692049752,38,1.62908069201879
"25",0,"ACANCH",33.2,0.254,0.272339298,18.2894736842105,13,0.716001990049752,0.443662692049752,38,1.62908069201879
"3",0,"ACANCO",23.1,0.42,0.187233267,18.1833333333333,15.5,0.769565217391304,0.582331950391304,60,3.11019489069378
"4",0,"ACANCO",18.8,1.03,0.199715485,17.375,15.5,0.7828,0.583084515,60,2.91957589067268
"26",0,"ACANCO",19.3,0.403,0.110953047,17.7254901960784,15.5,0.285118061674009,0.174165014674009,60,1.56971817704122
"5",0,"BALIVE",41.5,0.3,0.42796,29.8285714285714,21,0.396601941747573,-0.0313580582524272,35,-0.0732733392196168
"6",0,"BALIVE",46,0.14,0.21398,29.8285714285714,21,0.256440129449838,0.0424601294498382,35,0.198430364752959
"27",0,"BALIVE",46,0.14,0.21398,29.8285714285714,21,0.256440129449838,0.0424601294498382,35,0.198430364752959
"7",0,"CARARU",59.27,0.14,0.149786614,25.0625,21,1.17884307692308,1.02905646292308,8,6.87014971126243
"8",0,"CARARU",52,0.24,0.149786614,25.0625,21,1.59138461538462,1.44159800138462,8,9.62434467865477
"28",0,"CARARU",52,0.24,0.149786614,25.0625,21,1.59138461538462,1.44159800138462,8,9.62434467865477
"9",0,"HOLOAD",52.23140496,0.34,0.356634794,23.0660377358491,17.5,1.78155904196339,1.42492424796339,53,3.99547175972793
"10",0,"HOLOAD",20.5785124,0.252,0.356634794,19.625,17.5,0.113075352847059,-0.243559441152941,53,-0.682937966935837
"29",0,"HOLOAD",30,0.26,0.356634794,22.9038461538462,17.5,0.341423487544484,-0.0152113064555159,53,-0.0426523342966809
"11",0,"LUTJMA",58.89,0.097,0.3,23.5434782608696,17.5,0.567324388489209,0.267324388489209,23,0.891081294964029
"12",0,"LUTJMA",58.89,0.097,1.4978,23.5434782608696,17.5,0.567324388489209,-0.930475611510791,23,-0.62122820904713
"30",0,"LUTJMA",58.89,0.097,1.4978,23.5434782608696,17.5,0.567324388489209,-0.930475611510791,23,-0.62122820904713
"13",0,"LUTJSY",45.49,0.27,0.245551826,25.9027777777778,22,1.35507330960854,1.10952148360854,36,4.51848190943016
"14",0,"LUTJSY",59.566,0.097,0.3,25.9027777777778,22,0.836668839857652,0.536668839857652,36,1.78889613285884
"31",0,"LUTJSY",59.566,0.097,0.3,25.9027777777778,22,0.836668839857652,0.536668839857652,36,1.78889613285884
"15",0,"LUTJVI",74.07,0.1,0.332859142,26.575,19.5,0.671307420494699,0.338448278494699,20,1.01679129634571
"16",0,"LUTJVI",72.85447761,0.09,0.332859142,26.575,19.5,0.588714202812721,0.255855060812721,20,0.768658656257428
"32",0,"LUTJVI",72.85447761,0.09,0.332859142,26.575,19.5,0.588714202812721,0.255855060812721,20,0.768658656257428
"17",0,"PTERVO",42.5,0.47,0.299573227,31.625,27,1.10513513513514,0.805561908135135,8,2.68903171422303
"18",0,"PTERVO",34.9,0.42,0.299573,28.8,27,1.42333333333333,1.12376033333333,8,3.75120699573503
"33",0,"PTERVO",34.9,0.42,0.299573,28.8,27,1.42333333333333,1.12376033333333,8,3.75120699573503
"19",0,"SCARCH",23.75,0.71,0.427961753,23,23,Inf,Inf,4,Inf
"20",0,"SCARCH",40.0029,0.6244,0.599146455,31.125,23,0.682259785846154,0.0831133308461536,4,0.138719557050794
"34",0,"SCARCH",40.0029,0.6244,0.599146455,31.125,23,0.682259785846154,0.0831133308461536,4,0.138719557050794
"21",0,"SERRFU",37.7,0.2,0.15767012,24.3055555555556,20.5,0.703941605839417,0.546271485839417,18,3.46464812635024
"22",0,"SERRFU",31.5,0.14,0.17,24.3055555555556,20.5,0.264671532846716,0.0946715328467156,18,0.556891369686562
"35",0,"SERRFU",31.5,0.14,0.17,24.3055555555556,20.5,0.264671532846716,0.0946715328467156,18,0.556891369686562
"23",0,"SERRGU",55.775,0.0859,0.171184701,31.6324074074074,22,0.215299106027108,0.0441144050271076,108,0.25770062844055
"24",0,"SERRGU",47.14,0.2,0.272339298,31.6324074074074,22,0.321987888109199,0.0496485901091994,108,0.182304171574972
"36",0,"SERRGU",47.14,0.2,0.272339298,31.6324074074074,22,0.321987888109199,0.0496485901091994,108,0.182304171574972
